odour stim,19/03/2021 Female 7,22/03/2021 Male 1,22/03/2021 Male 2,22/03/2021 Male 7,22/03/2021 Female 11,29/03/2021 Female 3,29/03/2021 Female 5,31/03/2021 Female 1,31/03/2021 Female 4,31/03/2021 Female 9,31/03/2021 Female 10,31/03/2021 Female 13,08/04/2021 Female 1,08/04/2021 Female 5,08/04/2021 Female 7,08/04/2021 Female 8,08/04/2021 Female 9,08/04/2021 Female 13,08/04/2021 Female 14,08/04/2021 Female 15,28/06/2021 Male 14,28/06/2021 Male 15,28/06/2021 Male 16,28/06/2021 Male 18,02/07/2021 Male 1,05/07/2021 Male 1
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,5.974,5.2611,8.5264,8.8732,6.1752,5.1725,10.7607,3.3212,10.4961,6.6855,6.0251,2.5117,4.3548,14.5073,9.3429,6.0118,10.7858,7.2434,6.6095,5.0857,5.5659,5.5196,11.7827,4.0285,2.6084,7.1596
0,5.8991,5.3536,8.5098,9.7426,6.7669,4.6179,11.7402,3.3788,10.2713,6.1931,5.9148,2.852,3.9494,14.5819,10.2618,6.2947,10.5998,7.6402,5.5123,4.9278,5.549,5.389,10.8887,3.8459,2.5644,6.7815
0,5.5024,5.2176,8.8542,9.6439,6.3776,5.09,11.1669,3.2872,10.2643,6.4,5.7927,2.8111,4.7986,12.9833,10.6137,6.1149,11.0745,6.6907,5.4621,4.8089,5.5686,5.353,10.8554,3.9903,2.5939,6.6698
0,5.417,5.3166,8.9752,9.1971,6.4473,5.0407,10.9814,3.2831,10.0635,6.1051,5.5468,2.8189,4.2322,14.0209,11.3241,5.4174,11.0575,7.2919,6.4917,4.7473,5.7636,5.304,11.1717,3.901,2.3931,6.5787
0,5.6744,5.4686,8.4452,9.6873,6.4114,5.0236,11.0265,3.2814,10.0695,5.2983,5.4322,2.49,4.6851,13.7644,11.6206,6.3079,11.6149,7.0048,5.8057,4.8549,5.4999,5.4536,10.8078,3.9591,2.3006,6.3022
0,5.3349,5.4214,8.6334,9.8067,6.3286,4.8764,10.7852,3.6458,9.8056,6.4229,5.2996,2.2061,5.0147,12.7581,10.9445,6.0517,11.6489,7.2613,6.1973,4.4738,5.598,5.1139,10.7567,4.2292,2.4213,6.3457
0,5.5795,5.3061,8.7053,9.1504,6.3121,5.1225,11.0456,3.4573,9.3361,6.4911,5.2723,2.1386,4.1306,12.7598,12.5643,6.1791,11.4538,7.5794,5.5445,4.7324,5.3753,5.3392,10.2807,4.3373,2.318,6.1998
0,5.5763,5.755,8.5394,9.1413,5.8603,5.3846,11.9191,3.2774,9.2754,7.1708,5.5908,2.2859,4.4518,13.5261,12.1158,5.573,10.9252,7.7627,5.2005,5.2638,5.4681,5.8162,9.9246,3.8932,2.4801,5.9994
0,5.7476,5.9801,8.2298,8.4693,6.1378,5.5596,11.5808,3.3698,9.0569,7.3611,5.2101,2.5831,4.3857,13.4203,12.1447,5.2568,12.8735,7.3248,5.0486,4.7058,5.7329,6.2245,9.9152,3.9793,2.7049,5.7676
0,5.6794,6.4405,8.0983,8.6574,5.9103,5.6803,12.022,3.4594,8.8204,7.5103,5.4622,2.461,4.1783,13.6102,11.6074,5.8444,13.3026,7.7346,5.7054,5.4127,5.6405,6.6761,9.9061,3.9676,2.7989,6.0555
0,5.6102,6.6896,8.2345,8.6973,5.6627,5.6607,11.6463,2.9965,9.2558,7.3269,5.2925,2.4847,4.478,13.7022,10.893,5.7273,12.5854,7.9297,5.8192,4.6276,5.7105,7.2462,10.4627,3.3286,2.8344,5.8211
0,5.5381,6.7265,8.402,8.453,5.8062,5.4419,12.4328,3.2026,8.965,7.3286,5.0936,2.294,3.8299,13.4683,12.0886,5.6453,11.8246,8.0458,5.9959,4.6895,5.1927,7.5376,10.1382,3.4099,2.5369,5.648
0,5.1998,6.9172,8.182,7.7613,6.1771,5.9086,11.3121,2.8182,8.6514,7.3994,5.0451,2.5533,4.3805,13.7986,12.763,5.0284,11.9418,7.7535,6.5921,4.9357,5.7546,7.7184,9.8115,3.2744,2.3919,5.7155
0,5.1896,6.9532,8.2285,7.8838,6.4473,5.374,12.3389,3.2383,8.7496,6.9787,4.8691,2.533,4.0719,11.5442,12.2942,5.7879,12.1381,8.3128,6.3706,4.9479,6.0742,7.2399,10.0394,3.2589,2.3933,6.0133
0,4.651,6.8002,7.8532,7.512,6.12,5.2845,12.333,2.9236,8.6901,6.814,4.8468,2.3685,4.4416,13.1158,12.6434,5.4656,11.9272,8.0606,6.082,4.8567,5.6453,7.6787,9.4295,3.439,2.2529,5.9416
0,4.7611,6.7604,7.7746,7.8474,5.6618,5.3697,10.9802,3.1148,9.0077,7.1376,4.7913,2.3825,4.7344,12.1432,11.5748,5.7613,11.9667,8.8647,6.3556,4.8897,5.6289,7.716,9.0886,3.2301,2.3047,6.2877
0,4.6008,6.6498,7.9556,7.5191,6.5371,5.3527,10.5194,2.744,9.4183,6.7693,4.5951,2.3654,4.1578,12.7824,11.3967,5.3738,12.3486,7.841,6.0417,4.9575,5.8166,7.3533,9.2144,3.4784,2.2806,6.178
