odour stim,09/04/2021 Male 1,09/04/2021 Male 3,16/04/2021 Female 5,21/04/2021 Female 1,21/04/2021 Female 4,21/04/2021 Female 11,22/04/2021 Female 1,22/04/2021 Female 8,22/04/2021 Female 13,23/04/2021 Female 4,23/04/2021 Female 6,23/04/2021 Female 7,23/04/2021 Female 10,23/04/2021 Female 11
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,3.4131,14.9607,9.6532,6.0168,9.7449,9.3029,2.9163,4.2502,3.2739,2.5672,3.0363,2.5627,6.6036,4.5748
0,3.5361,14.7033,9.3325,6.1211,9.4827,8.5655,3.0196,4.1726,3.215,2.8713,3.1538,2.2093,6.6295,4.8352
0,3.5331,15.0759,10.0267,6.3797,10.2604,8.8744,2.8572,4.3626,2.9398,2.8866,2.8103,2.0674,6.5735,4.5806
0,3.5154,15.288,9.4441,6.2725,10.0468,8.6189,2.8326,4.2713,2.9944,2.9158,2.8447,1.9552,6.4619,4.9854
0,3.5952,14.617,9.2666,6.371,9.2611,8.107,2.9048,4.4155,2.9777,3.0388,3.0909,2.0202,6.9056,4.9561
0,3.6016,14.2396,9.5223,6.4877,10.0409,8.7654,3.2467,4.3392,3.0822,3.0126,2.9066,1.9666,6.4463,5.0016
0,3.4808,14.944,9.606,6.2947,9.8386,7.5923,2.7797,4.485,2.7886,3.2117,2.9591,2.0856,6.5431,4.981
0,3.6298,14.7971,9.8225,6.2051,9.8033,8.8231,3.0005,4.5251,2.6501,3.0672,2.7316,1.8966,6.6618,4.8957
0,3.6269,14.5735,9.8176,6.1356,10.3729,7.3689,2.9391,4.64,2.8782,3.118,2.9379,1.9816,7.2319,4.7837
0,3.3266,14.79,10.0003,6.5132,9.9462,8.4505,2.7867,4.7704,2.894,3.3175,2.8564,2.0988,7.0454,4.9346
0,3.1697,14.7023,10.0853,5.7172,9.739,8.3714,2.9007,4.4592,3.0086,3.3882,3.1166,1.9597,7.1488,4.6718
0,3.408,14.1965,11.0255,5.8479,9.7611,7.7468,2.5736,4.6287,2.9995,3.2864,3.1339,1.9369,7.1341,4.6897
0,3.2109,14.9705,11.259,6.0844,10.0658,8.1124,2.5125,4.5946,2.8229,3.3055,2.9489,2.0485,7.5083,4.7615
