odour stim;16/11/2020 Male1;16/11/2020 Female7;17/11/2020 Female6;17/11/2020 Female12;18/11/2020 Male6;19/11/2020 Male2;19/11/2020 Male7;20/11/2020 Female3;20/11/2020 Female5;20/11/2020 Female11;23/11/2020 Female2;25/11/2020 Female2;16/02/2021 Female3
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0.5;12.3607;4.4139;7.2825;18.6449;7.698;12.0597;7.6444;11.2072;13.4788;14.3992;13.6151;11.8463;4.1467
0.5;11.6608;4.8559;6.6219;19.836;7.195;13.5537;7.9009;11.2425;14.1535;15.1786;13.5784;12.0611;4.5065
0.5;12.4563;5.139;6.0289;18.1145;7.5228;13.7983;7.6057;11.6733;13.0035;14.6612;13.3532;11.4304;4.2926
0.5;12.7871;4.9473;6.7127;16.1479;8.1771;13.7445;7.341;10.457;14.1353;15.8241;14.678;11.1389;3.591
0.5;14.908;4.7117;6.9394;18.6097;7.5845;14.9172;7.6207;11.9045;13.4622;16.903;14.0081;11.7422;4.0029
0.5;14.2101;4.5601;7.7898;18.3938;7.8757;13.9271;7.5319;11.3601;14.1682;16.5423;14.9658;11.9592;3.6103
0.5;13.5734;4.8728;6.7915;18.7464;5.6204;13.9825;7.5605;11.5216;14.8437;17.1929;14.331;12.1141;3.4989
0.5;13.5477;5.6055;7.9519;21.9997;7.139;14.4567;7.4795;13.3292;14.6366;17.1438;13.4052;12.4053;3.8793
0.5;14.1481;5.2519;7.8384;21.7448;7.7167;11.6948;7.3082;14.189;13.8342;16.4385;14.9658;11.8783;3.8052
0.5;13.4913;4.9319;7.8289;20.6705;8.0372;10.7522;7.5628;14.2943;12.7958;15.7617;14.4283;12.1678;3.4198
0.5;13.3805;5.8029;8.7219;20.6828;8.8001;11.3606;7.4588;15.4459;12.2706;16.8505;13.8915;12.3989;3.7002
0.5;13.692;6.5658;9.7611;23.9704;7.4292;10.3104;6.923;15.1689;13.1745;17.1075;13.758;12.9453;4.4756
0.5;14.7605;6.1051;9.564;24.5544;6.7733;11.4424;7.2016;15.3259;12.1396;14.6664;13.3778;12.4859;4.6599
0.5;14.0168;6.0831;8.4224;22.2499;6.9813;11.2862;7.528;15.6191;11.2127;15.0483;14.2447;14.2995;4.4115
0.5;12.3101;5.708;8.8284;23.2892;6.8665;11.8271;7.6141;16.6867;11.8903;14.1633;12.8339;15.6852;4.7098
0.5;13.44;5.9282;9.2629;23.4019;6.2716;11.6546;7.3848;15.6229;10.8741;12.6631;13.0914;15.479;4.4008
0.5;12.7383;5.7015;9.0205;24.7741;6.5258;12.1074;7.837;15.3361;9.5541;12.4406;12.7513;15.9003;4.1584
0.5;11.9606;4.8427;7.8749;22.7083;6.4335;11.616;7.6984;18.591;9.3615;11.8668;14.2751;16.2667;4.3647
0.5;12.3381;4.4245;7.3944;22.2385;6.221;10.2334;7.525;22.6397;9.7426;11.8632;15.0911;14.9027;4.9372
0.5;12.8677;5.6798;6.9316;23.358;6.2828;8.9991;7.4581;25.8057;8.1257;12.254;16.4791;14.5929;4.8773
0.5;13.3488;6.3054;8.0713;21.4357;5.3631;9.6832;7.7584;26.8528;7.849;12.3264;16.909;15.122;4.7348
0.5;13.1598;6.5393;9.2326;19.4494;4.2207;8.7093;7.7924;28.1951;8.0736;11.0593;18.266;13.7802;4.6921
0.5;11.8348;7.2245;9.4969;20.8886;4.3814;7.6472;7.6586;30.9284;8.1184;11.3074;22.2473;14.5227;4.3097
0.5;12.4915;7.076;9.1622;20.5752;4.2486;8.1645;7.5301;30.401;7.857;13.0507;21.5764;14.0936;4.671
0.5;11.4277;5.7602;9.297;18.9853;4.7613;8.3885;7.8298;30.8111;7.7769;12.1924;20.5526;12.3863;4.4167
0.5;10.9964;5.384;10.3666;20.2773;4.942;7.14;7.8377;33.0692;7.4698;11.7966;20.4;12.7272;4.1242
0.5;12.0913;4.6912;9.6292;16.1213;5.2936;7.5405;8.0735;33.417;8.0469;11.5748;18.7657;13.4216;4.4907
0.5;12.7467;4.3926;8.6346;13.3273;5.4534;7.4574;8.146;36.8893;8.8866;12.6639;19.1623;12.5902;4.3531
0.5;10.9567;3.6306;10.5937;11.7443;5.3888;6.55;7.8752;35.8427;7.9797;12.1392;19.7487;12.575;4.5751
0.5;11.595;3.179;11.0772;14.6969;6.8118;7.2459;8.2281;34.0379;7.6637;12.5325;18.8291;12.7476;4.4752
0.5;11.7562;3.2212;10.5951;13.9537;6.8159;6.6284;8.2803;35.0671;7.2684;13.0704;17.1627;14.1709;4.2776
0.5;11.9471;3.607;10.0957;14.3478;6.8144;6.6317;8.2499;33.2799;7.4471;13.2422;16.5822;12.8733;4.4505
0.5;11.0024;3.933;10.6924;11.694;7.2817;8.3937;8.3672;30.1477;7.8827;13.8409;17.1462;13.5002;4.4151
0.5;12.177;4.1452;11.5464;11.5574;7.3868;8.6449;8.0893;29.1247;8.1234;13.4115;17.8846;12.97;4.3844
0.5;11.7972;4.0976;11.2524;11.1027;6.4704;9.2479;8.3472;26.7743;9.1323;12.5375;17.5228;13.1352;4.7461
0.5;12.3615;4.1818;11.3942;11.4368;5.4126;8.2075;8.2959;28.2275;9.17;12.4722;15.9532;13.7272;4.816
0.5;11.9015;4.205;11.7386;11.2619;5.4885;9.817;8.1763;26.9146;8.1548;12.3198;15.8376;15.0739;4.7662
0.5;13.4102;4.4368;11.7089;11.1419;6.0994;10.9569;8.0619;24.962;7.6205;12.8622;14.8688;15.1927;4.881
0.5;12.9171;4.5229;11.0535;8.7937;6.6694;11.1562;7.9504;27.2784;8.4653;13.7022;14.3089;15.9238;4.4688
0.5;12.5386;4.934;10.731;9.7983;7.3768;11.2534;8.0004;30.9456;7.7046;14.4788;15.1253;15.3074;4.6052
0.5;13.1742;4.3507;9.6071;10.303;7.6592;10.7712;8.2144;32.979;8.0543;15.2849;15.0482;15.0534;4.7078
0.5;12.7951;3.259;8.4527;9.8219;8.3159;9.7745;8.0826;33.7638;9.0191;14.637;15.6132;14.5681;4.6131
0.5;13.3051;3.2675;10.626;9.4194;7.8169;10.6408;8.0783;32.763;8.0032;15.3379;15.8311;14.2905;4.8183
0.5;13.0065;3.0063;11.6505;7.7908;9.0056;11.2287;7.8527;33.0659;7.9814;14.6297;14.8372;13.3624;4.8684
0.5;14.7899;3.0816;12.0261;9.1684;8.5048;13.5065;7.7742;31.9285;7.7663;14.1978;14.5363;11.6705;4.5013
5;13.6668;3.2015;9.6883;8.8277;9.0361;12.8277;7.7563;31.6943;8.1406;14.665;15.8316;11.8555;4.2828
5;14.4536;3.4577;8.8168;9.1149;10.1129;15.3807;8.0332;33.4617;9.4082;16.1224;18.2861;13.5332;4.2193
5;15.602;5.5901;18.9681;10.2428;10.5128;25.3848;9.5199;30.1989;18.5487;21.9198;26.7044;21.7644;10.4585
5;15.3108;6.9814;25.1185;12.0979;10.4277;31.0227;10.0774;29.5321;22.1902;27.4054;28.9009;25.4233;13.5033
5;15.2563;8.3048;22.7324;13.1903;8.6771;35.9442;10.9153;30.7246;24.6796;31.0732;30.0808;26.8488;13.8864
5;15.8582;9.3074;24.1221;13.0206;8.5896;42.558;11.2622;31.0991;24.3777;29.448;31.0489;26.6229;14.506
5;16.9074;10.185;25.4464;13.2249;8.5127;41.6931;11.6191;33.0813;22.8122;28.951;30.7193;27.1231;14.8712
