odour stim,08/06/2021 Male 1,08/06/2021 Male 10,09/06/2021 Male 1,09/06/2021 Male 3,09/06/2021 Female 4,09/06/2021 Male 5,09/06/2021 Male 9,09/06/2021 Female 11,09/06/2021 Male 12,10/06/2021 Male 5,14/06/2021 Female 2,15/06/2021 Female 1,21/06/2021 Female 1,29/09/2021-male1,29/09/2021-male7,30/09/2021-female10,01/10/2021-male8,08/10/2021-female6,13/10/2021-female4
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,4.3075,2.7053,4.7184,9.9835,10.0175,3.0996,9.5517,9.9521,5.2067,5.2218,8.3929,5.2067,7.3077,1.8008,9.1296,5.4631,13.0355,15.9229,7.7824
0,4.5671,3.0241,4.9788,9.984,9.8425,2.7497,9.8006,9.8327,5.0693,5.5404,8.1257,5.0693,7.0838,2.3756,10.5308,5.6061,12.4416,13.8962,6.7296
0,4.2049,2.6358,4.5061,9.6357,9.9543,3.2369,9.3135,9.7481,4.9265,5.8426,7.8732,4.9265,6.967,2.6509,12.7811,5.413,12.1208,15.7588,7.9448
0,4.0901,2.9977,4.8461,9.5818,10.3075,2.6951,9.4022,9.5794,5.2016,5.815,7.9642,5.2016,6.6077,2.5693,16.8355,5.4826,13.8105,16.6672,9.2136
0,4.0236,2.9231,4.5407,10.1778,10.1306,3.0653,8.7345,9.6948,4.9868,6.0808,8.3404,4.9868,6.2022,2.4454,19.0846,6.0932,13.0842,16.4802,8.044
0,4.3089,2.7472,4.4728,10.5905,10.5689,2.7444,8.3069,9.8391,4.5674,6.3928,7.3582,4.5674,5.6442,2.3876,19.445,7.2814,13.6485,17.0534,8.7736
0,4.1617,2.9916,4.6951,10.4172,10.4192,2.9478,7.7157,9.8446,4.816,6.018,7.231,4.816,5.3574,2.6682,19.3246,7.5581,13.2721,15.6618,5.6576
0,4.3067,3.5495,4.6704,10.6965,10.4103,2.954,8.6757,10.4928,5.0637,5.764,7.3595,5.0637,5.8192,1.876,18.8305,7.5634,13.7125,19.4397,8.9952
0,4.0344,3.7628,4.7477,11.6221,10.1576,3.0143,8.541,9.8404,4.8587,4.9328,7.2922,4.8587,5.3877,2.1822,15.2003,7.856,13.9128,19.8802,9.328
0,4.105,3.6348,4.6885,12.2193,10.586,2.7196,9.0691,9.7843,5.026,5.5174,7.0721,5.026,5.5146,2.8065,16.061,9.6028,13.3081,22.6504,7.104
