odour stim;16/11/2020 Female5;16/10/2020 Female10;17/11/2020 Male10;18/11/2020 Female4;18/11/2020 Male9;19/11/2020 Male5;19/11/2020 Male9;20/11/2020 Male8;23/11/2020 Female4;23/11/2020 Female8;25/11/2020 Female5;16/02/2021 Male4;17/02/2021 Male3
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0.5;4.5296;7.2392;13.4556;14.5377;11.3401;25.3284;7.5608;12.2024;9.6067;11.4012;15.697;14.162;15.1666
0.5;4.4944;8.1318;12.8228;13.8078;9.7693;25.6694;7.9108;12.6017;9.7611;12.3098;16.0465;19.0549;16.3524
0.5;3.9214;8.146;13.1638;12.7843;10.4369;26.6875;10.0567;11.2089;9.6604;11.5176;15.1784;24.4384;15.7249
0.5;3.9743;8.5358;13.958;11.4247;10.5011;26.3426;7.4524;13.6041;8.9847;11.743;16.9537;25.3071;15.0815
0.5;4.0294;7.8166;13.8088;11.0406;10.5039;25.6098;6.3027;14.364;9.7522;11.2705;16.3986;28.5731;16.042
0.5;4.2666;8.0568;13.7272;12.7166;8.7988;27.1479;7.0413;14.4799;10.0821;8.8685;16.8933;27.8445;16.6963
0.5;3.7733;8.4361;13.3297;12.3053;8.666;27.8509;9.9985;14.2952;10.1689;9.7467;17.9469;30.3958;16.7087
0.5;4.2486;8.2971;11.1987;12.3378;8.193;29.1778;12.7214;12.9887;9.707;7.7754;16.8485;29.8916;16.8293
0.5;4.8756;8.2169;11.4702;14.54;7.9828;30.6888;12.5923;13.5293;10.0402;8.1276;16.0095;29.3392;16.9735
0.5;5.2234;7.4991;12.0677;13.1404;7.0266;34.0594;11.868;13.6433;9.7585;7.7578;15.367;30.3247;18.2816
0.5;4.7521;6.9078;13.9824;13.8482;7.9605;32.4963;13.5389;12.6915;9.2258;7.3089;15.3545;32.1737;19.4482
0.5;4.3379;7.8542;12.071;13.0062;7.6318;31.4551;15.4409;12.7056;8.9865;8.0002;16.4917;32.5628;19.3623
0.5;3.9402;8.0979;10.8146;11.4876;7.1072;31.4399;15.5005;12.2621;9.0271;8.6862;15.4075;33.2061;19.1129
0.5;3.7653;9.1883;11.8833;11.1135;7.8383;30.3622;14.8786;12.6459;9.961;8.6164;15.8162;33.0544;19.0733
0.5;3.5029;9.3972;11.5846;11.9348;7.3584;29.428;14.386;12.0278;8.8657;8.386;14.747;34.1479;19.5333
0.5;4.0089;10.0249;11.1905;11.4523;7.5035;28.0164;16.5994;12.6422;8.4435;8.8692;14.842;33.1062;20.3911
0.5;4.1413;9.2045;12.5155;12.7385;6.8918;25.7927;16.1631;13.1863;9.1971;8.4345;14.407;33.3741;19.3648
0.5;3.9184;9.2465;12.5997;12.4631;7.1873;25.8401;15.4254;13.3139;9.5231;9.4351;12.9683;32.545;18.597
0.5;3.6778;9.6998;11.4151;11.9446;7.1039;30.6364;15.7245;11.9824;9.216;10.0424;13.9815;33.176;19.3621
0.5;4.2258;9.3054;11.0838;10.7432;6.7389;30.2912;16.651;11.6258;8.9497;10.335;14.1107;33.7178;20.3166
0.5;4.1842;9.3632;10.6521;10.0248;6.7767;30.6647;18.4365;12.8829;8.9578;11.9837;12.5661;35.8267;18.3358
0.5;4.3656;9.0189;9.4734;11.2839;8.2203;28.9739;21.1221;12.7265;9.6471;10.9702;13.3292;35.5923;18.7648
0.5;5.1619;8.819;11.0176;11.3947;7.432;28.9503;21.5071;13.3414;9.0629;13.3983;13.6189;34.2602;18.2667
0.5;5.1135;8.244;10.5349;11.0223;9.5161;28.1923;23.4007;13.692;8.9668;12.5024;13.0668;32.7003;19.9426
0.5;5.0133;7.7841;11.6434;11.8243;9.6306;28.1567;26.7809;13.1672;8.5614;13.3171;12.7182;28.6772;19.5643
0.5;5.1439;8.6375;12.4263;11.6884;11.3913;27.1905;26.3195;14.076;8.3013;11.2995;13.3769;29.1144;17.391
0.5;5.9187;8.7231;13.0141;10.6066;11.3408;26.8999;26.2045;15.2272;8.3376;12.5531;13.4142;27.2115;17.6723
0.5;6.3138;7.7961;11.9319;10.8626;11.2474;25.3315;25.7565;16.0104;8.1207;11.8762;14.0412;30.0681;18.2643
0.5;5.7075;7.6569;11.7549;11.1509;9.9017;22.2442;26.5774;16.756;8.3145;12.3277;13.6756;27.5184;17.0478
0.5;5.8323;7.9584;11.1891;9.9419;12.0343;24.1171;24.9921;18.2371;7.7798;12.2139;13.2628;25.9758;15.6199
0.5;5.5835;8.1971;9.9346;11.4383;12.5753;25.6504;25.2093;17.417;7.7991;12.0651;14.1597;28.7292;14.5744
0.5;5.6441;8.2119;10.6715;11.0633;11.8713;26.2084;24.4173;15.9314;8.8182;10.7574;14.5468;30.6626;16.624
0.5;5.5465;7.9795;9.8137;9.7049;10.8281;28.041;23.3649;15.6988;8.5249;13.0537;14.0063;30.6726;15.6318
0.5;5.4516;8.2168;10.4532;10.2381;9.8512;29.3634;23.3095;15.0227;8.465;13.4549;15.3464;31.9067;14.724
0.5;6.5703;7.7286;11.7611;10.8624;9.9703;28.1453;24.4689;12.9626;8.5351;13.2905;15.6504;30.1424;14.8242
0.5;5.9568;7.7069;12.9377;13.6982;8.9283;25.1804;25.5136;13.005;9.023;12.7555;15.7467;27.3863;13.955
0.5;6.0654;8.4801;14.1028;14.3459;10.3281;26.2388;23.7947;13.6586;8.7347;11.8747;16.5515;28.3667;13.5632
0.5;5.8108;8.1531;15.1163;16.7838;10.5054;24.1823;24.2999;13.1741;8.9783;12.4847;16.2953;28.6944;15.4712
