odour stim;12/11/2020 Male5;09/12/2020 Male8;11/12/2020 Female4;11/12/2020 Male7;14/12/2020 Female2;14/12/2020 Female9;08/02/2021 Female4;08/02/2021 Male7;08/02/2021 Female8;09/02/2021 Male2;09/02/2021 Female7;09/02/2021 Male8;09/02/2021 Female9;10/02/2021 Male1
;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V
0.5;16.3979;7.1111;11.6853;18.4825;23.6448;45.0787;5.4423;20.8397;14.5549;16.1862;15.9394;5.9838;4.3062;16.334
0.5;14.3944;7.4773;13.5836;16.7995;24.5206;41.602;6.3585;19.9026;13.4279;16.5959;15.2045;6.1071;4.3761;16.6028
0.5;15.932;7.0638;13.2819;18.7548;24.3446;37.8636;7.1823;20.3381;13.4242;13.9333;15.3803;6.0878;4.8995;18.2904
0.5;14.4137;7.3816;13.401;18.8287;25.1305;38.2556;6.6604;23.6227;14.065;13.503;14.0364;5.9188;6.1893;16.5964
0.5;13.3425;7.4485;16.0946;17.9711;24.1508;40.1444;6.3321;22.1171;12.6209;11.7266;13.3291;5.9294;5.7004;24.4233
0.5;14.4976;6.9286;18.8975;18.9691;24.8643;37.8023;5.8522;23.0448;12.3105;10.9162;12.3054;5.7154;6.2248;18.6714
0.5;15.2247;7.0247;19.2735;22.237;23.1511;42.2101;6.5316;26.3953;14.2041;9.7368;13.3362;5.6097;5.527;13.1286
0.5;14.1145;7.3204;18.2318;21.8422;21.6252;39.9716;6.1681;26.7006;14.0646;9.5524;12.5085;5.9641;5.3092;16.22
0.5;13.7124;7.0886;17.6044;22.9294;19.7301;42.1849;5.9403;25.4902;13.0266;9.0296;14.7683;5.8164;4.7895;19.5396
0.5;13.8746;7.4744;16.1164;25.3468;17.9886;42.7069;5.8289;24.2746;14.155;8.8814;16.5837;5.8562;4.7884;19.6196
0.5;13.1312;7.3104;13.671;23.3536;17.3877;41.4128;6.6729;24.156;13.4967;7.5929;20.0784;6.9659;4.2889;15.3299
0.5;13.9092;7.4103;14.9885;20.9422;18.7788;39.8618;6.2283;23.9612;14.2962;8.0434;16.1321;6.6635;4.2514;18.4414
0.5;16.4554;6.7895;14.3109;19.6817;20.0239;44.8569;7.9331;20.4276;13.3401;9.9488;14.5648;6.8462;4.3664;17.5237
0.5;15.004;7.4186;12.4294;22.7964;20.5426;39.5498;7.5392;22.829;12.4357;10.2514;11.7921;6.0877;5.5034;13.8866
0.5;15.7723;6.8356;12.8493;22.9277;20.8353;40.7342;7.4694;21.9479;13.2448;8.6622;11.0957;5.7166;5.3476;18.494
0.5;16.3356;7.402;13.9493;20.8191;19.896;40.2912;8.1091;18.9807;13.804;8.8236;11.1448;6.161;5.9673;18.5301
0.5;16.5328;7.0346;15.5923;19.146;19.9893;38.7134;8.3881;17.8275;14.3875;8.0439;11.5862;5.6965;6.0703;15.5346
0.5;16.1896;7.0715;13.7437;19.5403;22.765;38.9332;7.8525;20.5537;12.9082;8.0763;10.6463;6.3708;5.3923;23.4465
0.5;15.3084;7.1035;12.1124;18.6807;21.9439;39.7756;7.3063;17.7971;13.6626;7.5475;9.2601;6.3023;5.1091;19.6091
