odour stim;16/11/2020 Female2;17/11/2020 Male1;17/11/2020 Male7;18/11/2020 Female1;19/11/2020 Female1;20/11/2020 Female1;20/11/2020 Female6;23/11/2020 Female1;25/11/2020 Female1;16/01/2021 Female1;16/01/2021 Female2;17/02/2021 Female1;17/02/2021 Male4
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0.5;4.8177;10.3432;6.301;6.1321;18.4522;8.1688;14.9417;7.2958;5.4648;16.8695;26.4756;10.0687;18.5516
0.5;4.4529;10.2264;6.3658;5.9857;19.3893;10.1109;13.8547;7.8955;5.844;16.8728;26.7356;9.5505;17.244
0.5;4.5614;11.0378;6.7277;5.1461;18.5127;12.6898;12.9376;7.4737;5.9706;16.8723;25.4514;11.447;17.1841
0.5;5.0888;11.3897;6.4127;5.6446;17.7265;13.865;13.9815;6.5951;5.2413;15.7207;25.7289;12.7823;17.2319
0.5;5.4383;11.0272;5.6424;5.9731;19.4675;16.3727;12.9886;7.2524;5.8258;16.3605;24.6191;13.1692;18.3843
0.5;5.2521;11.2017;4.995;5.6523;21.6397;17.2596;12.986;7.8155;6.3759;16.9993;23.2741;13.1493;18.1531
0.5;5.2744;10.3802;5.281;6.2913;21.4159;18.4811;12.9291;6.9182;6.8046;16.8402;24.3322;15.0529;18.1645
0.5;5.7805;9.4687;5.9744;5.7239;21.1473;18.4724;14.5671;5.8748;6.3237;17.2997;22.2144;13.6592;17.7005
0.5;5.9366;9.3851;6.2047;6.5478;20.4527;17.5949;14.2432;5.5557;6.8639;15.5963;23.266;13.1969;18.507
0.5;5.6659;10.0677;6.2318;7.099;21.0909;17.3367;13.7844;6.0595;6.6582;15.6156;21.9066;11.7381;18.6982
0.5;6.3229;10.6976;5.4811;6.1867;20.8063;16.0468;13.2388;5.8244;7.0226;17.2225;23.129;13.3591;17.2561
0.5;6.6021;10.545;5.5933;5.2255;21.2096;18.1026;12.3842;5.8948;6.0886;17.2332;22.9674;14.077;16.6765
0.5;6.9595;10.0812;5.6898;5.4575;21.8234;15.5355;13.2236;7.9737;6.6799;16.5877;22.4176;14.1492;16.5892
0.5;6.4078;9.506;5.1281;4.7507;22.9599;15.7167;12.8841;7.0699;6.6048;16.2547;22.2374;13.8263;16.2449
0.5;5.8735;9.5104;5.1829;4.8189;24.1792;15.0002;12.7141;7.7355;6.2425;15.1897;21.275;14.888;14.5774
0.5;5.8197;9.3883;5.2823;4.6301;25.0487;15.8854;12.6414;7.1927;5.7515;16.1781;20.4105;14.3058;15.1542
0.5;5.9248;9.6679;5.4431;5.3791;24.2911;17.2548;13.6723;6.0612;6.8653;16.886;19.4975;14.7518;15.4555
0.5;6.4801;9.3611;5.6847;4.9989;23.6849;16.4384;14.2828;6.6229;6.2872;17.8109;17.5584;15.2508;15.9598
0.5;6.3618;10.1723;5.505;6.1161;24.5956;16.1546;13.6357;7.0485;5.6853;19.0449;15.5441;15.33;14.2229
0.5;5.3462;10.0121;5.6426;6.6775;24.7714;16.0561;13.7428;6.4395;6.52;17.1059;13.2684;16.2756;14.1523
0.5;5.9375;10.4346;5.3714;6.449;25.1316;16.966;13.3825;7.4658;7.2632;17.0407;13.8231;16.6198;15.6507
