odour stim,29/09/2020 Female4,29/09/2020 Male6,30/09/2020 Female2,30/09/2020 Male4,30/09/2020 Female7,16/10/2020 Female4,21/10/2020 Female3,16/10/2020 Female4,30/10/2020 Male3,02/11/2020 Female3,08/11/2020 Female5,25/02/2021 Male5
,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V
0.5,4.9714,7.3419,2.6863,1.0612,2.4435,4.5056,7.2088,3.1254,6.3214,2.2432,2.1166,3.0635
0.5,4.9121,6.7886,2.8233,1.2438,2.1542,4.7903,6.564,2.9495,5.8007,2.3525,2.5214,2.8281
0.5,4.9106,7.6863,2.5452,1.206,2.6442,5.0334,7.773,2.7079,6.1322,2.6424,2.3271,3.1446
0.5,4.7292,7.6031,2.5427,1.1388,2.4669,5.0859,6.3468,3.5348,5.9927,2.5221,2.3576,2.8734
0.5,5.0037,7.0408,2.8001,1.0658,2.3696,5.0578,7.3702,2.6488,6.0467,2.7187,2.1868,2.9581
0.5,5.2208,7.7035,2.6735,1.0134,2.2647,4.7586,7.3169,2.7171,6.2028,2.5781,2.2512,3.0278
0.5,5.3952,7.1234,2.9438,1.0546,2.3371,4.9236,7.3355,3.8677,6.7521,2.6987,2.3626,2.8324
0.5,5.3681,7.8093,2.7614,1.1105,2.323,5.5427,6.2687,2.8377,6.4607,2.597,2.3059,2.7068
0.5,5.492,7.2135,2.942,1.1512,2.3211,6.2589,7.7064,3.7424,6.5313,2.7296,2.3945,2.8814
0.5,5.1987,7.1311,2.673,1.1191,2.1721,5.9852,8.1186,2.8823,6.2584,2.7845,2.4433,2.9837
0.5,4.9538,6.8703,2.6451,1.0523,2.5027,5.7667,8.4944,2.6855,6.6945,2.5592,2.286,2.8567
0.5,4.8249,7.1651,2.7044,1.0698,2.5257,5.5569,9.1346,2.468,6.8176,2.6175,1.9994,2.9201
0.5,4.4345,7.0419,2.6408,1.0281,3.1184,5.5915,9.3728,3.6893,6.7813,2.5288,1.833,2.9556
0.5,4.1686,6.9247,2.9844,1.1568,2.9204,5.0633,9.1649,2.3201,6.745,2.8317,1.9373,2.9826
0.5,3.9899,7.0448,2.7947,1.2299,2.7668,5.1264,9.5001,2.4861,6.5344,2.7258,2.0417,3.0545
0.5,3.9216,7.0337,2.58,1.3255,2.7869,4.6678,9.8019,2.5883,6.1854,2.7468,2.0258,3.3711
0.5,3.5124,7.4394,2.8201,1.0416,2.696,4.9446,9.5625,2.5474,6.1702,2.9344,1.6554,2.8992
0.5,3.2592,7.5328,2.7727,0.9832,2.743,5.1909,10.4428,3.103,6.1364,3.2153,1.8705,2.9662
0.5,2.9892,7.1898,2.5769,1.2139,2.7209,4.6131,10.4223,2.9698,5.902,3.4328,1.8198,3.0544
0.5,2.8034,7.8034,2.6543,1.1629,2.591,5.3864,11.0392,2.523,5.5625,3.522,1.9269,2.782
0.5,2.6554,7.4882,2.7751,1.1435,2.6381,4.9552,10.9778,2.8792,5.1418,3.6897,1.9117,2.9107
0.5,2.7379,7.3357,3.0379,1.1444,2.9929,5.263,11.1557,2.7512,5.1488,3.9361,1.7327,2.8347
0.5,2.3916,7.399,2.8549,1.0999,2.7544,5.5995,11.4174,2.6201,4.6609,3.6605,1.9896,2.7712
0.5,2.3473,7.499,2.6024,1.1278,3.0846,5.126,11.5435,2.6884,4.9734,3.4297,1.9203,2.8482
0.5,2.2756,7.1493,2.7658,1.2982,2.9098,4.8921,12.0939,3.628,4.8916,3.6868,2.124,3.2674
0.5,2.3526,7.9106,2.7796,1.1555,2.8801,4.9459,12.442,3.3067,4.6716,3.2957,2.0056,3.5347
0.5,2.5067,7.2049,2.5524,1.2131,3.2384,4.5346,12.4279,2.9939,4.7313,3.5409,2.1154,3.7037
0.5,2.4588,6.1914,2.4293,0.9798,2.838,4.4884,12.3851,3.6667,4.3962,3.3976,1.9126,4.3066
0.5,2.2313,6.3472,2.6361,1.0581,3.1284,4.3434,11.8901,3.1982,4.8561,3.1073,2.1414,3.8164
