odour stim;12/11/2020 Female1;12/11/2020 Female2;12/11/2020 Male7;12/11/2020 Female8;13/11/2020 Female2;13/11/2020 Male1;13/11/2020 Male5;13/11/2020 Male6;13/11/2020 Female11;11/12/2020 Male2;15/12/2020 Female2;08/02/2021 Male6;08/11/2020 Male4
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0.5;11.084;4.7329;10.1747;2.9247;3.9152;5.0948;6.3203;4.5223;8.0093;11.9165;8.4189;18.1172;9.9627
0.5;9.2688;5.082;9.3076;2.6534;4.1767;5.0581;5.9933;4.7755;7.5789;11.4788;9.8011;17.6849;9.7861
0.5;10.658;4.8984;8.355;3.5314;3.8832;4.4625;6.1711;4.1982;6.7993;12.2882;11.1104;19.3505;10.4054
0.5;10.7207;4.0599;7.8051;3.4958;3.9953;4.9621;5.608;4.856;8.3897;12.5314;11.31;20.0506;10.4473
0.5;11.4085;4.087;8.1259;3.6336;4.6518;5.2121;5.2842;5.2474;7.891;11.2749;9.7913;19.8433;11.0458
0.5;11.365;3.5144;7.405;3.5949;4.3102;5.3867;6.0864;5.6398;8.4605;10.9745;9.2042;18.709;11.0438
0.5;9.9561;4.0952;6.6944;3.1822;4.1284;5.7866;6.3765;5.4859;7.4265;10.6013;9.0382;17.7647;10.6031
0.5;11.3181;4.0484;6.4838;3.0914;3.8879;5.811;7.8013;5.119;6.6583;11.3238;9.8291;17.8772;10.4751
0.5;10.1358;3.5589;5.9982;2.9053;3.775;5.4588;7.7478;5.1676;6.4675;10.7694;11.2934;20.4282;10.8463
0.5;11.0992;3.4913;5.7386;3.1553;3.743;6.3419;8.2366;4.3701;7.7074;11.5747;10.8942;21.8446;10.2449
0.5;12.143;3.9172;6.3843;3.7056;3.7576;6.3482;7.473;4.3434;8.5428;10.8899;11.0292;21.1777;10.328
0.5;10.8481;3.6893;6.1388;4.0581;4.3101;5.3286;7.5447;4.2707;8.6435;10.2937;9.4932;19.6566;11.0795
0.5;11.0541;3.6208;5.8327;3.804;4.1294;5.7024;6.7815;4.415;8.3288;11.6094;9.2904;22.8768;9.8412
0.5;10.5747;3.8052;5.1646;3.8158;3.942;5.1178;6.5985;4.115;9.7546;10.7216;10.4192;21.2396;11.4545
0.5;10.9568;4.4277;4.8226;4.1975;4.0439;6.1461;7.5897;4.2945;8.9524;11.726;9.9101;20.2043;10.8757
0.5;11.7968;4.1087;4.6846;3.9182;3.8996;5.2997;9.3182;4.4813;8.4854;13.393;9.1916;18.8302;9.7208
0.5;10.6668;3.8541;4.5912;4.1601;4.4207;5.3201;10.4476;5.358;8.7709;12.6007;8.2488;21.5072;9.6798
0.5;10.7299;3.74;4.4302;4.4519;4.2615;5.3127;10.4733;5.1059;8.6736;12.473;8.0516;20.4464;9.6979
0.5;10.4887;3.7673;4.3282;4.0446;4.2796;5.0465;9.0699;5.1451;8.6244;11.3875;7.2845;21.1432;9.2304
0.5;11.9056;4.5684;4.258;3.4117;3.998;5.2596;10.1908;4.8471;8.4862;11.9628;8.4394;21.6243;9.9895
0.5;12.0995;3.8821;3.8999;3.7358;4.4098;6.1461;10.684;4.6812;8.9162;11.6472;8.513;27.1302;11.5096
0.5;12.7352;3.6329;3.7465;3.631;4.2152;5.0754;9.5896;5.318;9.5848;10.2642;9.6651;28.2588;10.8292
