odour stim;07/12/2020 Female11;09/12/2020 Male5;09/12/2020 Male9;11/12/2020 Female5;11/12/2020 Male9;14/12/2020 Male4;14/12/2020 Male6;14/12/2020 Male8;15/12/2020 Female4;15/12/2020 Male5;08/02/2021 Female3;09/02/2021 Female3;10/02/2021 Female2
;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V
0.5;12.6432;12.8679;14.2002;14.6516;15.0647;28.0387;17.7735;34.7508;41.3412;22.7308;12.5954;9.1632;6.0409
0.5;12.3291;11.6012;19.1341;14.9532;14.7563;25.9402;17.1174;35.6151;38.5631;23.9861;13.4211;9.6015;5.6184
0.5;12.4302;10.37;18.3356;14.0125;14.7497;24.6068;20.8041;33.1289;37.0671;24.7058;12.7591;10.8744;6.0156
0.5;12.8843;11.5943;21.0641;14.1035;14.2803;24.8695;20.4322;35.0981;38.1362;22.6539;12.448;10.6115;6.4935
0.5;16.2817;12.3559;19.5834;13.1712;14.3384;29.1722;20.8189;34.6998;40.383;20.8248;11.0368;10.3398;6.6768
0.5;15.2762;13.8902;21.0952;12.0762;14.8458;26.8967;19.6321;33.2519;44.9538;21.1511;10.7811;10.6619;6.131
0.5;15.0561;13.4373;24.8584;11.129;13.1299;26.3973;20.0549;35.0186;44.8996;20.3788;10.5247;11.1913;7.0995
0.5;13.6284;11.5745;23.6369;11.0943;13.9188;24.5179;18.6881;35.8285;50.4766;17.9922;9.8188;9.5759;6.7592
0.5;13.3417;13.1966;22.4429;13.0334;14.2768;28.0875;16.4017;34.7227;43.7988;16.71;10.3151;9.4563;6.6075
0.5;12.797;13.2187;17.9939;12.1935;13.0646;26.1656;19.2674;33.7114;44.4097;15.2016;11.2077;8.6679;6.0359
0.5;12.6904;12.7931;18.1996;11.68;11.419;28.4443;20.2777;32.0403;47.5441;14.055;12.1147;7.9716;6.0654
0.5;12.3904;14.5579;16.8842;14.0494;12.3006;26.2313;19.5097;31.3852;41.1112;13.6252;13.534;7.7142;5.4808
0.5;12.2768;15.9595;16.7929;12.5777;12.3992;24.2095;17.6547;33.9522;47.06;13.0748;13.785;9.333;5.6635
0.5;12.1465;15.884;15.8923;12.4274;13.2258;22.2654;17.7276;36.4371;40.379;12.4532;12.7915;9.1389;6.1687
0.5;12.3144;14.7049;14.7179;13.0048;13.9033;23.6512;16.8416;37.5067;42.4307;11.9894;13.0313;10.6342;6.9023
0.5;12.3538;15.0914;18.136;13.8609;13.9667;22.9096;15.9566;35.8434;41.7653;12.0525;13.0804;12.499;8.6686
0.5;13.083;16.5924;18.8293;15.2503;12.5316;20.2976;18.1347;34.2836;43.7384;11.6422;12.4606;12.9778;7.4481
0.5;13.1137;15.6486;19.3209;14.5039;11.9551;21.9646;17.1254;35.3159;41.8248;11.9438;11.7202;13.9074;7.0636
0.5;12.7202;15.3593;18.0741;16.0434;13.5292;22.0128;17.5777;33.8051;46.6888;11.633;14.5199;12.8097;6.6503
0.5;13.1035;16.3925;19.9074;14.3947;14.5428;26.3405;17.3112;32.4238;44.5309;11.7792;14.6567;11.6814;7.2707
0.5;13.3818;17.2661;26.8587;13.0495;12.5458;29.6697;19.051;35.1575;38.9809;11.4694;15.7154;14.0896;6.8999
0.5;12.9022;17.727;25.9062;11.8839;11.406;32.1179;19.3132;34.4307;42.1024;14.1077;16.4121;15.0707;7.0298
0.5;13.0428;18.5011;23.1063;11.1926;12.8143;30.3785;18.468;34.564;41.5293;12.5703;15.5514;15.5486;6.5708
0.5;12.6491;16.2869;20.3559;12.1145;12.7175;27.3273;16.4438;33.872;45.7371;13.2108;14.7052;15.6954;6.468
0.5;13.0354;15.7512;16.5646;12.9037;13.3675;28.6014;15.5909;32.8623;45.4213;12.7217;13.7766;15.4328;6.9951
0.5;13.0229;16.526;17.2907;12.4084;13.8562;25.0393;17.7555;29.3923;42.5255;12.1573;12.8549;15.1229;7.0585
0.5;13.7863;19.4144;16.1527;13.9599;11.9597;21.7337;16.3544;28.4682;38.0193;11.6879;12.6507;15.7037;7.173
0.5;13.7729;17.5437;13.7944;13.5527;15.8968;19.606;17.8383;30.5611;39.7639;12.0805;11.7953;17.012;6.3229
0.5;15.4961;18.2459;13.773;12.26;14.154;18.0124;17.5257;30.0524;41.2461;13.896;10.7976;16.8348;6.2299
0.5;15.1041;20.3084;12.2199;11.2836;16.4394;16.414;18.0867;31.2564;43.7946;13.2773;12.2915;14.9769;6.8901
0.5;14.642;18.2929;12.6739;12.3558;13.0996;15.5903;17.2664;31.8659;39.0485;12.9506;11.8331;16.5901;6.6511
0.5;16.8532;19.7746;12.2283;12.9561;12.7387;14.5049;16.2754;29.8021;41.7715;15.0612;10.7734;16.0378;6.4478
0.5;16.6066;18.2659;11.9698;14.0738;10.3406;14.368;17.4715;28.323;37.2431;13.8142;13.6596;16.6602;6.0941
0.5;15.174;17.439;12.7565;13.6731;12.4051;13.6938;18.0114;27.3721;38.5284;15.2437;13.5837;17.4074;6.0502
0.5;15.0578;20.3237;12.2974;14.4321;12.5371;13.4641;18.5637;29.528;39.6296;14.0069;12.7866;15.1484;5.6407
0.5;13.8594;18.36;13.4769;16.6713;13.6736;13.587;18.2857;31.0304;41.3293;13.5069;12.3196;14.762;5.8979
0.5;14.1874;18.0249;12.933;16.8031;12.875;16.9532;17.2179;31.7857;42.0236;14.8354;11.439;18.4871;5.7903
0.5;13.9257;20.7953;12.4239;17.1707;12.1595;17.7007;19.5688;34.4497;41.2725;15.6745;10.6894;18.9067;5.9831
0.5;13.6956;20.807;12.0468;15.351;12.5721;19.5312;18.6462;32.6259;40.0207;17.8507;10.2227;20.3624;5.652
5;13.221;20.8496;10.1534;14.078;13.5283;21.2477;18.5536;32.5051;37.6431;16.1561;9.8947;18.1965;5.3107
5;13.4797;19.8425;11.4025;12.8015;12.6996;21.7944;19.8052;30.4969;42.2573;14.4359;9.7955;21.1205;5.4423
5;13.0657;19.4383;14.1355;16.7571;12.4472;20.0428;23.1644;28.9304;39.0388;20.0501;12.5294;24.4605;5.6276
5;13.5463;20.7179;15.4783;17.4419;15.2346;18.176;22.3246;31.2684;44.3748;29.9663;11.3363;22.8593;6.4775
5;13.2722;17.7628;17.6622;15.3588;15.9554;16.3957;24.7821;30.5378;44.381;30.7263;13.2282;23.9346;6.2065
5;13.5913;15.7453;15.8368;18.4351;18.1301;15.3034;24.5297;29.0949;44.3471;26.2077;12.8304;24.1954;6.1782
5;13.5716;14.2249;14.9969;19.0027;14.7621;14.6385;23.2138;31.209;46.2399;21.9041;11.7668;22.2268;5.7293
