odour stim;30/09/2020 Female3;30/09/2020 Male8;30/10/2020 Female2;30/10/2020 Male9;02/11/2020 Female2;02/11/2020 Male9;02/11/2020 Female11;03/11/2020 Male2;03/11/2020 Male8;04/11/2020 Female2;04/11/2020 Female8;04/11/2020 Female9;25/02/2021 Female9
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0.5;4.707;6.031;2.3119;2.2661;2.0088;5.8392;4.6652;2.1468;4.0919;5.5291;4.6209;6.8911;4.1709
0.5;4.6689;6.5308;2.454;2.3284;1.8945;5.765;4.4945;2.1649;4.4423;5.2037;4.4746;7.1576;3.9391
0.5;4.4771;7.0582;2.906;1.9419;1.8922;5.6052;4.5798;1.9383;4.0129;5.2817;4.9302;6.9214;3.8486
0.5;4.0275;7.4532;2.6721;2.4615;1.7877;5.712;4.6942;2.1739;4.2304;5.0677;5.6129;6.9514;4.0359
0.5;4.6614;7.4216;2.7331;2.5969;1.9303;5.6312;5.4873;2.5758;4.3535;4.745;5.2697;6.5822;3.9448
0.5;4.4634;6.8167;3.2058;2.1847;1.7671;6.0277;5.734;2.2809;4.3248;4.245;6.5828;5.8574;4.1647
0.5;4.7062;7.6978;3.0205;2.1467;1.7004;5.8444;5.6024;2.6907;4.2691;3.9636;6.7166;5.7847;3.9328
0.5;4.5676;7.6299;3.1242;2.4487;2.066;5.9342;4.7208;2.538;4.0933;3.9823;7.0389;5.6581;4.0757
0.5;4.9156;7.3337;3.3462;2.2753;1.9231;6.2;4.1539;2.4943;4.1185;3.8013;7.0612;5.3654;4.543
0.5;4.7742;6.8733;3.6534;2.1211;1.6919;6.2254;3.6308;2.6396;4.4258;3.2716;6.027;4.8588;3.9009
0.5;4.8787;7.1516;3.3869;2.2749;1.7636;6.1283;3.3217;2.0815;4.3324;3.4073;5.4123;4.7666;4.0871
0.5;4.7718;6.9062;3.7671;2.3421;1.4392;6.2171;3.227;1.5757;4.3947;3.3494;4.8804;4.7385;4.1696
0.5;4.4186;6.7599;3.6029;2.2139;1.7726;6.2457;3.3799;1.5812;4.5089;3.1986;4.8917;4.0783;3.8991
0.5;4.9121;6.4013;3.8417;1.9881;1.5631;6.2629;3.0007;1.2699;4.5336;3.1455;4.8451;4.2504;3.881
0.5;4.6408;7.4858;3.6679;2.2907;1.5098;6.4173;3.0007;1.7037;4.3318;3.1953;4.7664;4.1572;4.3057
0.5;4.5503;7.2458;3.9442;2.2091;1.6651;6.2486;3.2098;1.8314;4.0903;2.9163;4.6584;4.2221;4.633
0.5;4.6676;7.0391;3.9272;2.4298;1.7333;6.1542;2.7885;1.9038;4.3453;3.0781;4.7115;4.2269;3.9141
0.5;5.0413;6.1736;4.1183;2.6239;1.5249;6.0912;2.7409;2.2833;4.3888;3.2821;4.3678;3.9451;3.7885
0.5;4.9564;5.7676;3.8276;2.7167;1.5408;6.2548;2.5062;2.4292;4.3246;3.1604;4.0351;4.0452;3.7473
0.5;5.0023;5.5449;3.7706;2.7063;1.5504;6.2041;2.6579;2.3508;4.2444;3.1733;3.7274;3.6971;3.6202
0.5;5.2006;5.1879;3.8139;2.9351;1.5889;6.2859;2.8559;2.6424;4.4959;2.8966;3.4533;3.6659;3.7018
0.5;4.8709;5.2329;3.6985;2.6562;1.5434;6.3304;2.6153;3.3015;4.7096;2.5435;2.8002;3.6121;3.9464
0.5;4.7474;5.1203;3.8712;2.5244;1.4108;5.9081;2.5625;3.1716;4.5704;2.6732;2.5006;3.5239;3.4689
0.5;4.5404;5.0101;4.2689;2.8894;1.9781;6.3015;2.2166;3.5818;4.5592;2.4609;2.2771;3.6027;3.6844
0.5;4.5474;4.5746;4.1519;3.481;1.9541;5.8491;2.3864;3.2689;4.2994;2.4758;2.0891;3.3815;3.3207
0.5;4.853;4.7231;4.2657;3.4333;2.132;6.0277;2.378;3.6074;4.3131;2.1802;1.8925;3.8776;3.6197
0.5;4.8042;5.018;4.2653;3.4467;2.5341;6.0777;2.5186;3.388;4.1885;1.9972;2.0464;3.3714;3.6202
0.5;4.7293;4.8716;4.5875;3.9898;2.486;5.7917;2.3532;3.2827;4.1672;2.3266;1.8547;3.7168;3.8728
0.5;4.7113;4.6892;4.5255;4.2826;2.6545;5.8123;2.6074;3.4663;3.9889;2.2384;1.8245;3.65;3.7539
0.5;4.6262;4.5842;4.2758;4.2542;2.5914;5.9421;2.41;3.369;4.0992;2.0162;2.0563;3.5177;4.0878
0.5;4.7846;4.2574;4.3328;5.0009;2.8804;6.0214;2.4028;3.3462;3.9201;2.4462;1.6974;3.5966;3.8836
0.5;5.2092;4.4919;4.3336;5.0629;2.9874;5.8783;2.6501;3.5286;4.1939;2.2652;1.7487;3.6634;4.0033
0.5;4.9564;4.1154;4.6888;4.9718;2.9508;6.265;3.0174;3.6816;3.6735;2.5171;1.7504;3.4541;4.205
0.5;4.6731;4.2586;4.3914;4.6706;3.106;6.2241;3.1939;3.9966;3.664;2.18;1.8372;3.3841;4.1648
0.5;4.9859;4.1454;4.4603;4.5818;2.7715;5.9411;3.0955;3.7785;3.7959;2.3421;1.6637;3.4591;4.2821
0.5;4.8074;4.5437;4.917;4.3854;2.8673;6.0518;3.273;4.0068;3.8656;2.0581;1.8008;3.5752;3.9293
0.5;4.8408;4.398;4.423;4.4498;3.2167;6.538;3.6481;3.9828;4.1232;1.9725;1.6106;3.5087;3.7542
0.5;5.0246;4.565;4.1222;3.7358;3.1567;6.1796;3.6365;4.1464;3.7771;1.9118;1.7583;3.6243;3.8957
0.5;4.9168;4.4215;3.9812;4.112;3.0423;6.2307;3.6099;4.1205;3.7065;2.2501;1.7304;3.3631;4.2054
0.5;4.8527;4.2891;3.8208;3.995;3.6253;6.1567;3.7571;4.1332;3.7495;2.0833;1.5948;3.5376;4.2034
0.5;5.0071;4.06;3.3008;3.8064;3.7844;6.0532;4.0788;3.8485;3.4063;2.2551;1.5878;3.6327;4.081
0.5;5.0244;4.3383;3.4236;3.8691;4.4416;5.7348;4.0415;3.7655;3.6664;2.2992;1.3268;3.723;3.7473
0.5;5.1398;4.204;3.2696;3.5755;4.6423;5.7012;3.6648;3.9107;3.8025;2.4167;1.4443;3.494;3.9254
0.5;5.1316;3.8535;2.802;3.0799;5.0652;5.8522;3.4922;4.0015;3.7094;2.7363;1.5258;3.9127;4.0214
0.5;4.9271;3.9429;3.1969;2.6791;4.7425;5.9258;3.4196;3.7907;3.5736;2.7359;1.4999;3.8176;4.3297
0.5;4.9653;4.6505;3.0116;3.0254;4.9838;5.7541;3.4195;3.6211;3.5584;2.6226;1.5892;3.8167;3.781
