odour stim,19/03/2021 Male 2,19/03/2021 Female 3,19/03/2021 Female 4,19/03/2021 Female 5,22/03/2021 Female 5,22/03/2021 Female 8,22/03/2021 Female 9,22/03/2021 Female 10,22/03/2021 Female 12,22/03/2021 Female 13,29/03/2021 Female 1,29/03/2021 Male 2,29/03/2021 Female 4,31/03/2021 Female 2,31/03/2021 Female 7,31/03/2021 Female 8,31/03/2021 Female 11,31/03/2021 Female 12,08/04/2021 Female 4,08/04/2021 Female 6,08/04/2021 Female 11,28/06/2021 Male 17,02/07/2021 Male 3
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,19.1339,33.1871,8.9696,3.4903,16.9298,10.4014,14.7355,9.211,5.7743,9.2483,6.7983,5.985,3.7804,2.9988,1.2126,2.6231,16.0962,5.2056,7.3401,9.3823,5.96,13.2889,2.374
0,19.9919,32.3761,8.7936,3.4398,16.8137,10.2276,14.3766,8.9751,5.5493,9.0229,7.1611,6.0141,4.1243,3.201,1.4084,2.8554,15.8406,5.3465,6.9195,8.7393,6.1648,12.3573,2.2698
0,19.6074,27.7109,8.8854,3.5741,16.4585,10.3638,14.9418,8.956,5.8089,8.6808,6.8819,6.4084,3.9125,3.3907,1.0729,2.7806,15.1707,5.5179,7.3334,9.4652,6.5826,11.6043,2.5394
0,19.5646,27.2884,8.8073,3.1179,16.3458,9.9057,14.9282,9.084,5.3173,8.781,6.8157,6.0268,4.1402,3.251,1.2572,2.8931,15.2718,4.9233,6.9762,9.9926,6.1789,10.825,2.3619
0,19.3208,26.8032,9.5865,3.4803,16.8479,9.6676,14.759,9.1225,5.0775,9.0877,6.866,6.2854,4.2375,2.9607,0.8929,2.3238,14.4756,5.4554,7.6681,9.7302,6.6571,10.7725,2.5656
0,19.4165,24.3039,9.6348,3.4057,17.1701,10.0672,14.5287,8.5947,5.481,9.2722,7.061,6.112,3.7705,2.9251,1.3758,2.4131,14.4828,5.2511,7.8359,10.254,6.3937,11.4942,2.331
0,19.4748,24.2481,9.8727,3.216,17.1092,9.4886,13.8577,8.6874,5.6555,8.8691,6.8988,6.1807,4.0379,3.1363,1.1925,2.2592,13.6558,4.9477,7.5758,10.1062,6.2224,12.0373,2.5062
0,19.0865,22.8455,9.5639,3.6994,17.7061,9.7393,14.1949,8.7373,5.3403,9.3378,7.0647,6.105,3.7956,3.1903,1.1571,2.3498,13.5405,5.5328,8.3067,9.4942,6.1116,13.0371,2.105
0,19.3518,22.9537,8.3812,3.0303,17.3063,9.9436,14.7253,8.5418,5.4008,9.1052,7.3615,6.1568,3.6648,3.4458,0.771,2.6443,14.6671,5.2401,8.0736,9.9766,6.6873,13.8879,2.4629
0,19.2946,23.6092,8.8532,3.2563,17.5599,10.2018,15.0689,9.1956,5.4481,9.4263,6.951,6.0345,3.9757,3.2054,1.0544,2.4943,13.5982,5.3001,8.7744,9.378,6.3657,14.8583,2.2971
0,20.0975,20.5253,10.0938,3.5381,18.2372,10.3675,15.4982,9.1018,5.1213,9.692,6.7969,5.558,3.5571,2.63,1.3017,2.539,12.9499,5.051,7.8861,9.7793,5.8126,15.2921,2.3007
0,18.9443,23.1135,9.3685,4.0092,17.3351,10.1288,15.5023,9.0919,5.0328,9.6686,7.1177,5.8371,4.1651,3.4318,1.2214,2.5024,14.5633,5.2307,8.429,9.2421,5.8363,14.8075,2.2405
0,19.2588,21.0278,9.9112,3.5972,17.0119,10.4747,15.2923,9.2506,5.2057,9.5954,6.6524,6.5739,3.7317,3.0899,1.197,2.432,14.846,4.9488,7.8485,9.0887,6.0198,15.0317,2.4765
0,19.1147,19.9803,9.8666,3.987,16.8854,10.5498,14.445,9.6299,4.8612,9.6738,6.7358,6.1462,3.7864,3.3088,0.6108,2.4025,14.6715,4.9901,7.9788,9.4207,5.779,14.9211,2.5441
0,19.0136,21.1924,9.6424,4.1017,16.3933,10.4752,14.6055,9.3048,4.9623,9.7979,6.9942,6.0844,3.9858,3.5111,1.2398,2.4119,15.8154,5.1526,8.5668,10.1213,5.3306,15.1912,2.4803
0,18.687,19.1031,9.7131,3.9885,16.5387,10.6712,14.7365,8.8041,5.1672,9.7178,6.2924,6.7483,3.983,3.0793,1.3129,2.5352,15.8435,5.8001,7.4494,9.7629,5.5622,14.4436,2.457
0,18.5929,22.43,9.7386,4.0802,16.7248,10.778,14.696,8.5693,5.1623,9.896,5.8571,6.5127,3.7015,3.0842,1.0891,2.6044,16.1279,5.6155,8.5966,10.1204,5.8018,14.3739,2.5103
0,18.7626,23.0968,9.4402,4.4593,16.6543,10.6606,14.4535,8.5584,5.1212,9.7161,6.2539,6.7207,4.018,3.0428,1.2685,2.777,15.6792,5.4652,7.0073,9.9014,6.0294,13.9894,2.3071
0,18.0433,21.8551,9.2261,4.2258,15.8904,10.704,14.4025,7.9473,5.1318,9.8177,6.2537,6.4037,3.6236,3.3838,1.4318,2.6639,15.1919,5.8152,6.5398,9.4343,6.0954,12.4706,2.3318
0,17.8312,22.3748,8.8226,4.5227,15.713,10.7557,14.3428,8.0246,4.9601,9.7364,5.7691,6.4752,3.8817,3.6655,0.8802,2.745,15.9518,5.6437,7.6466,10.0895,6.2239,12.3373,2.359
0,17.9785,19.8775,8.8482,4.4728,15.8671,10.2354,14.2471,7.9464,5.3168,9.9111,6.0718,6.2536,3.7914,3.2656,1.3544,2.7655,15.1213,6.0138,7.7802,10.4398,5.8527,12.3612,2.4405
0,17.4913,21.1054,8.6764,4.5699,15.5179,10.2461,14.2157,7.7655,5.1264,9.722,5.9353,6.0913,4.212,3.3563,1.198,2.8643,15.2162,6.2141,7.5195,10.3519,5.609,12.0836,2.6704
0,17.3772,21.0919,9.093,4.1783,15.2773,10.021,13.9097,8.1214,4.8895,9.282,6.0259,8.1113,3.7164,2.9789,1.5892,2.8099,14.897,6.2892,7.57,9.8747,5.6886,13.2441,2.5654
0,17.4599,19.789,9.0159,4.5174,15.3723,10.3224,13.5752,8.2916,4.9363,9.5259,6.1226,7.4679,3.9456,3.595,1.3588,2.666,14.8159,6.1139,7.4243,9.7104,6.1161,13.6242,2.5825
0,17.4923,21.3127,8.6849,4.3224,15.3396,10.1738,13.9905,7.8646,4.7583,9.8158,5.685,7.2033,3.6852,3.8007,1.3081,2.7802,14.7452,6.2867,8.5082,9.4359,6.0288,14.3849,2.7516
0,16.9413,19.2757,8.9158,3.9618,15.8179,9.8057,13.6341,7.5837,5.0657,9.8693,6.3111,8.2918,3.8368,3.9758,1.4707,2.253,13.7374,6.1712,7.6062,10.3896,5.8444,14.9347,2.83
0,16.8194,21.5236,8.7529,4.2128,15.5321,10.1249,13.9023,7.7914,5.4944,9.5669,6.03,7.8298,3.8169,3.9989,0.9909,2.5028,13.4238,6.2537,7.7701,10.5382,6.083,15.9062,2.8128
0,16.9338,22.6039,8.737,4.6109,14.9536,9.6342,14.4149,7.6196,5.5341,9.9418,5.7206,7.8827,3.6361,3.9691,1.361,2.3925,14.2921,6.1716,8.0581,9.9416,6.1599,16.5962,2.8373
0,16.4155,20.4817,8.9394,4.184,14.5672,9.8662,14.0809,7.7086,5.7107,9.8605,5.6899,7.7424,3.9676,3.8015,1.2938,2.3084,14.2361,6.4572,8.3944,10.8567,6.1978,16.094,2.7968
0,16.6427,23.3496,8.6895,4.344,14.8556,10.1086,13.3811,7.8304,5.4725,10.4253,5.9202,7.0719,3.5951,3.8784,1.0781,2.6359,14.2056,6.4309,9.2203,11.239,6.4773,16.8515,2.5485
0,17.1792,22.2381,8.2247,4.361,15.3044,10.4086,13.2931,7.9954,5.449,10.4203,6.0854,7.5179,3.8798,3.2198,0.592,2.3068,14.2236,6.3693,8.3553,11.1869,6.9086,15.5866,2.64
0,16.6462,23.4087,8.2037,4.3058,15.5139,10.2907,13.4274,7.8395,5.7146,10.4002,5.8827,7.6123,4.0008,4.0015,1.055,2.4534,14.553,6.9234,8.9006,11.3081,6.7442,14.1214,2.5516
0,16.3823,24.3825,8.4786,4.1664,15.9013,10.2063,12.6049,8.0213,5.8296,10.1622,6.1284,8.016,3.9475,3.7967,0.8084,2.5031,13.9982,7.0125,9.6522,12.04,6.419,13.6851,2.5924
0,17.4757,20.159,8.4935,4.0333,17.1792,10.2293,12.4685,8.1113,6.0611,10.4198,6.278,8.0441,3.9856,3.8623,1.2563,2.2964,13.4645,6.6331,9.1178,11.8358,6.1992,13.3185,2.8793
0,17.4252,22.7711,8.237,4.3906,17.1108,10.1011,11.9991,7.601,6.0811,10.6724,6.1747,7.5841,3.6205,3.5516,1.5087,2.5084,13.9731,6.5278,9.2305,12.1702,6.0592,13.6049,2.6974
0,17.139,22.0755,8.924,4.3677,17.3875,10.177,12.1513,8.0366,5.9217,11.0437,6.0388,7.405,4.0536,4.2582,1.0747,2.4769,14.0223,6.1322,8.9496,11.7858,6.3053,14.3312,2.6733
0,18.0343,20.296,8.989,4.1556,16.625,9.9011,11.7764,7.9034,6.1954,10.5118,5.9953,7.8081,3.8117,4.1236,1.2138,2.1571,14.0296,6.4518,9.337,12.5388,6.5512,14.7527,2.7247
0,17.7128,20.2078,8.7951,4.0829,16.4204,10.3082,12.7058,8.1841,6.2129,10.7311,6.0931,7.1294,3.7086,3.538,1.1431,2.4624,13.3106,6.745,9.0536,12.2658,6.4719,15.5412,2.6585
0,17.923,18.6589,8.5701,4.6247,15.7502,10.3189,13.625,8.4074,6.9796,10.1725,6.4915,7.9265,3.9883,3.815,1.486,2.4263,13.9686,6.5955,8.5657,12.4536,7.0284,15.3097,2.6763
0,17.4603,20.4995,8.4133,4.7683,15.7342,10.1433,13.7368,8.041,8.275,10.066,6.6486,7.3733,3.6038,3.6286,1.4386,2.2708,13.967,6.9651,8.2748,12.0413,7.1791,15.0918,2.5635
0,16.7778,20.5509,8.0709,4.4135,15.7171,9.8529,13.4401,7.7193,8.2354,9.7727,6.7688,7.6683,3.7387,3.5486,1.2829,2.4499,15.0489,6.3883,8.9442,11.9495,6.8152,14.8709,2.3882
0,17.2602,20.2251,7.9992,4.6158,15.3128,9.8558,13.3997,8.0601,7.9139,9.5271,6.2507,7.9748,3.8218,3.6869,1.3626,2.6089,15.0329,6.4771,8.9159,10.9762,7.1169,14.8139,2.4831
0,17.8963,20.5312,8.2519,4.8781,15.6359,9.6061,13.7365,8.0713,9.2589,9.1035,6.4477,7.4287,3.8223,3.7923,1.129,2.7493,14.085,6.4054,9.1431,10.874,6.9006,15.0466,2.3735
0,16.8786,19.5542,8.2412,4.4845,15.6598,9.8252,13.4785,8.1596,8.9865,9.4365,6.7211,7.6908,4.0921,3.4001,1.3012,2.4283,14.0087,6.4813,9.8424,10.9422,6.9432,14.2629,2.3769
0,17.2074,21.8576,8.2313,4.8192,15.1268,9.8089,13.6444,8.2971,8.9119,9.4846,6.5452,7.714,4.0039,3.8354,1.1586,2.7305,14.0036,6.7984,9.7424,11.457,6.9056,13.5434,2.3004
0,17.5092,21.7794,7.9885,4.3535,15.4779,9.7011,13.1173,8.3823,8.788,9.3172,6.3562,7.6903,3.8345,3.9249,1.3982,2.6068,13.7015,6.8962,10,11.4198,6.8868,13.0423,2.5009
0,17.0939,21.6969,7.868,4.4861,15.856,9.5043,13.3145,8.8176,9.0046,9.9358,5.6277,7.0366,3.7221,3.34,0.6147,2.4855,13.2835,6.7701,9.5152,11.9355,6.7567,13.1939,2.4049
0,17.3293,23.795,8.0244,4.7374,16.4057,9.5867,13.156,9.0239,8.7203,9.9691,5.5731,7.923,3.7172,3.3176,1.4225,2.3296,13.894,7.6069,8.8158,12.1251,5.7917,14.0705,2.3468
0,18.4461,22.1358,8.0566,4.9924,16.1398,9.5744,12.9066,9.3096,9.2076,9.8693,5.6919,7.5071,3.5066,3.3914,1.4006,2.2946,14.0689,7.504,9.6154,11.7049,6.0766,13.8194,2.3142
