odour stim;12/11/2020 Female3;12/11/2020 Female4;12/11/2020 Female9;13/11/2020 Male3;13/11/2020 Female4;13/11/2020 Male7;13/11/2020 Female8;13/11/2020 Male9;13/11/2020 Male10;09/12/2020 Female13;11/12/2020 Female1;14/12/2020 Male1;08/02/2021 Female1;09/02/2021 Female6
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0.5;17.037;18.8088;6.1682;7.635;6.0103;14.2293;12.2853;8.536;11.1438;13.9935;28.1503;6.2931;8.047;12.1564
0.5;18.9248;17.202;5.9265;8.5941;5.6774;12.8251;11.9305;10.0204;10.4623;13.2614;24.1984;6.096;7.3737;11.0995
0.5;16.8536;14.8541;5.5064;8.4081;5.3767;11.9068;13.2985;9.1441;9.085;13.9907;25.8524;5.7968;7.0869;9.6733
0.5;16.0073;15.7701;5.0953;9.1408;5.8809;12.7581;12.0464;8.2884;10.112;12.9045;28.5693;5.7438;6.4425;9.2428
0.5;17.2488;16.0189;4.9391;8.2579;5.5799;11.8447;10.6757;9.1602;10.2479;12.99;27.8127;5.9978;6.1555;9.4818
0.5;16.387;18.4062;4.7749;8.8241;5.1375;10.9878;10.5399;9.0084;9.9143;14.3404;29.0255;5.7638;7.8682;9.7604
0.5;13.6834;16.0907;4.6767;7.7639;4.9298;10.2668;10.6228;9.325;9.5309;12.9298;26.2585;5.5966;7.1264;8.8553
0.5;13.1567;17.5659;4.4964;7.4445;5.4977;10.3161;11.4071;8.1475;10.8349;14.6493;28.2342;5.6879;6.9719;8.348
0.5;14.5701;18.6984;5.1974;7.9997;5.2698;11.6687;10.533;7.6912;9.9513;15.8723;26.2308;5.7358;6.3309;8.9119
0.5;13.6697;18.121;5.0338;8.1928;5.1513;12.102;9.3118;7.7454;9.7463;15.8733;22.9916;5.948;6.069;8.1279
0.5;14.9654;18.5492;5.5947;7.8874;5.2908;13.2865;8.1688;8.4095;10.6601;14.1216;20.0791;5.6782;5.9628;7.7439
0.5;13.091;16.9073;5.2131;7.7246;5.2614;11.729;8.7372;8.2747;10.1452;13.5118;18.7178;6.0514;6.177;7.43
0.5;15.3552;18.6354;5.0388;8.5141;4.9076;11.0528;8.4334;7.9233;12.0258;15.5884;16.809;5.8249;5.5672;8.5141
0.5;13.4343;17.473;4.4594;8.247;4.9696;9.7938;7.2189;8.4047;10.9958;14.582;15.851;5.7644;6.4058;8.0304
0.5;13.569;17.1332;4.7677;7.5331;5.4377;10.9304;7.3965;8.2127;11.2151;13.6172;19.8175;6.1619;6.0515;9.5439
0.5;15.8468;17.2385;4.7869;7.4561;5.3584;11.6271;6.7721;8.5345;9.717;11.5883;23.9127;6.2974;5.5584;10.0822
0.5;15.0442;19.1186;5.9816;8.3426;6.4188;10.6025;7.3207;8.2552;11.0649;13.1045;30.1243;6.2864;5.6965;9.7969
0.5;16.6956;19.1728;5.8481;8.9563;5.8794;11.1748;6.6878;8.9122;11.5207;12.5335;28.7455;6.0372;7.0001;8.7668
0.5;16.8994;19.8704;6.3785;8.7197;5.4647;10.8297;6.3245;9.4193;11.8176;13.0423;24.202;6.2907;6.8047;8.3382
0.5;17.8771;18.6109;6.6988;7.3382;5.2354;9.9746;5.7422;9.3827;12.1554;14.3345;23.0608;5.8146;6.5828;7.9076
0.5;16.3445;16.179;7.9233;7.2537;4.982;9.3053;5.3119;9.4467;11.537;16.4505;24.3773;6.1922;6.5343;7.466
0.5;14.0208;14.371;9.0938;6.9974;4.7394;8.6478;5.3605;8.441;10.9302;13.9561;26.2639;6.0819;7.5484;7.3428
0.5;15.6462;12.6321;8.5053;7.2747;4.5999;7.775;5.7153;7.8392;10.9009;12.3857;28.9772;6.0768;7.3781;7.1769
0.5;16.7556;12.0192;8.0557;8.4307;4.4185;9.2229;5.2107;8.8158;10.5744;13.9588;30.3278;6.1951;7.8388;6.8296
0.5;16.2095;10.8924;7.308;7.9272;4.4514;9.4693;5.0079;9.0789;9.817;13.9472;28.4954;5.8846;8.1011;6.6629
0.5;15.9031;10.4538;8.6322;7.2504;5.1514;8.7251;5.4445;8.8941;9.8179;14.2648;28.3178;5.8904;9.0873;7.9392
0.5;16.3702;11.0702;8.771;7.4688;5.0373;8.2398;5.344;8.9909;9.0758;14.1566;24.5435;6.0213;8.8857;7.2253
0.5;18.8734;10.7275;8.2733;7.064;4.9925;7.2795;4.9294;7.7782;8.1919;15.9619;24.6744;6.0413;11.0383;6.7618
0.5;20.2769;10.3722;8.3805;8.0358;5.1288;7.5749;4.6855;8.3924;7.6449;15.3321;24.4839;6.0967;9.8488;7.6393
0.5;17.3793;9.8719;8.427;7.7346;5.5955;7.4986;4.8966;7.9159;7.9786;13.6631;25.1429;6.4689;9.1347;7.638
0.5;18.5584;9.3767;7.9429;8.1321;5.1893;6.8684;5.6584;8.5359;7.6666;12.393;25.9142;6.2143;8.3158;6.981
0.5;15.7505;8.9509;7.973;8.316;4.9832;9.0748;7.5215;7.6617;7.1028;10.2995;23.7689;6.3562;7.7782;7.6345
0.5;16.8737;8.6642;7.2904;9.1046;5.5835;8.5095;7.2773;7.7269;8.1225;9.2597;23.5739;6.1701;6.901;8.5294
0.5;17.2152;8.6951;7.061;8.8577;5.2684;8.0674;6.8509;7.669;8.2771;9.2673;27.2838;6.1873;6.7428;9.1149
0.5;19.0107;10.8134;6.7618;8.5563;5.0982;8.2857;6.7902;8.4013;7.4696;10.5703;26.265;6.41;6.366;9.7519
0.5;17.8289;10.4034;7.195;8.7073;5.2189;9.0607;6.6001;8.0832;7.3267;10.0379;30.8715;6.4246;5.8745;9.5542
0.5;14.7744;9.5361;6.8985;8.737;4.9977;8.5457;5.9904;7.4743;6.7799;9.8353;27.7279;6.0013;6.7347;8.7673
0.5;16.5796;9.6159;6.0494;8.0177;5.6795;8.3155;5.6985;7.7065;8.0025;9.2919;28.0822;6.2314;6.369;8.3289
0.5;16.269;8.9418;6.5711;7.9814;5.2304;7.6852;6.053;6.9221;9.0471;10.3763;24.5414;6.0941;7.1737;7.4548
0.5;14.6725;8.5814;7.4672;8.8168;5.0814;7.5462;5.8067;7.361;8.1523;9.565;24.5586;6.2043;8.2949;6.8683
0.5;15.2622;8.4201;7.2071;8.4521;4.9238;8.8591;6.6508;8.3567;8.7368;8.8797;25.4907;6.2992;8.4219;7.2447
0.5;14.35;8.18;7.9925;8.625;5.4083;8.5208;6.5999;7.7223;8.5685;9.86;25.3835;6.0557;7.5938;8.0354
0.5;17.8393;7.8339;8.1158;7.956;5.2881;8.1295;7.0224;6.8285;7.6879;9.7029;25.3614;6.1643;7.3973;8.1702
0.5;18.4786;7.7527;7.7875;9.0989;5.0951;8.5708;6.4325;7.7054;7.5075;11.2219;26.5846;6.1805;8.6434;11.1343
0.5;17.9093;7.3815;9.3551;8.5905;5.0094;8.2982;6.8576;7.4759;7.7622;10.7242;24.703;6.1858;8.3635;10.4421
0.5;16.478;7.7082;8.5865;9.2412;5.4407;9.2824;6.4897;8.7036;8.2293;11.9141;25.4312;6.0883;8.9546;9.9518
0.5;14.1567;8.6242;8.2599;8.4522;5.5019;9.0293;6.1668;8.0041;7.5039;12.5753;25.3175;6.0794;9.9293;8.9442
0.5;16.3345;8.4368;7.2375;9.1975;5.213;8.3295;5.7269;7.0034;7.1679;11.9343;26.4832;6.1665;9.9748;10.1882
