odour stim,29/04/2021 Male6,29/04/2021 Female10,30/04/2021 Male2,30/04/2021 Female4,30/04/2021 Male6,30/04/2021 Female7,30/04/2021 Male10,30/04/2021 Female12,03/05/2021 Female5,03/05/2021 Female6,03/05/2021 Female8,03/05/2021 Male10,05/05/2021 Male2,05/05/2021 Female3,07/05/2021 Male2,07/05/2021 Female3,07/05/2021 Female4,07/05/2021 Male6,07/05/2021 Female8,19/07/2021  Male2,22/07/2021  Male4
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,4.6504,4.8431,6.4257,2.3992,3.2607,4.5805,2.2854,5.4543,4.1422,4.8076,5.3105,4.7908,3.3474,2.6187,2.0709,2.2469,2.0004,2.7522,2.6681,3.0249,10.7789
0,4.7084,4.9762,6.7124,2.4437,3.1078,4.5884,2.3379,5.1165,4.0499,4.3623,5.2576,4.4523,3.3653,2.6965,2.2971,2.2838,2.3234,2.7669,2.6523,2.9833,10.3956
0,4.8764,4.9244,6.4903,2.2773,3.1251,4.5834,2.4584,5.3727,3.8024,4.6106,5.3359,4.9358,3.3867,2.5048,2.439,2.4124,2.2071,2.6895,2.6371,3.3689,11.0076
0,4.8391,4.791,6.2419,2.2307,3.1915,4.6739,2.6251,5.8569,4.0701,4.4968,5.2721,4.6975,3.3311,2.7007,2.1757,2.4137,2.2814,2.7588,2.5828,3.0473,10.2344
0,4.9649,4.7312,6.5343,2.4015,2.9993,4.5084,2.5512,5.731,3.7892,4.7463,5.2938,4.6153,3.1714,2.7346,2.2978,2.4355,2.2724,2.7006,2.6768,2.9922,9.8651
0,4.9494,4.9135,6.4541,2.531,3.1471,4.6283,2.4521,5.7328,3.7816,4.6682,5.1133,4.6525,3.251,2.8298,2.3507,2.5078,2.1524,2.4993,2.7586,3.2205,9.5784
0,4.8546,4.8033,6.2426,2.3319,3.1998,4.5783,2.4902,6.0153,4.0786,4.4809,5.3577,4.4523,3.0551,2.6806,2.5698,2.483,2.1771,2.6317,2.652,2.9564,10.0828
0,4.725,4.9264,6.4493,2.44,3.1751,4.4134,2.44,6.1151,3.8348,4.3829,5.2321,4.7692,3.1166,2.9005,2.2391,2.5116,2.1853,2.5794,2.6529,2.8516,10.0042
0,5.0655,4.9378,6.4861,2.3138,3.0269,4.4093,2.6412,6.0054,3.7826,4.1259,5.254,4.7616,2.9056,2.9352,2.5015,2.2815,2.3552,2.4576,2.7671,3.2285,10.4942
0,4.6098,5.0351,6.0983,2.3906,3.0946,4.4007,2.4838,6.5585,3.9466,4.4218,5.0522,4.6248,2.9903,2.9004,2.7936,2.3385,2.2924,2.6298,2.6429,3.0956,10.3331
0,4.4601,4.8381,6.2548,2.325,3.1845,4.2315,2.521,6.3215,4.1725,4.1578,5.3437,4.594,2.8681,2.6803,2.473,2.3685,2.3818,2.7679,2.7374,3.1788,10.6338
0,4.4933,4.3764,6.1213,2.5168,3.287,4.2923,2.3545,6.159,4.0029,4.0777,5.3929,4.6341,2.9498,2.825,2.5021,2.31,2.5425,2.7041,2.6082,3.0913,10.267
0,4.4438,4.5589,6.1546,2.4585,3.1829,4.5685,2.2018,6.3127,3.9859,4.4479,5.497,4.6115,2.8152,2.8681,2.4449,2.2965,2.2669,2.7924,2.6648,3.0089,9.9615
0,4.4591,4.6831,6.3478,2.5979,3.2203,4.6822,2.4266,6.3906,3.9923,3.5515,5.623,4.5135,2.6357,2.7253,2.6204,2.3624,2.3921,2.8618,2.6043,3.1114,9.1802
0,4.4267,4.6212,6.3229,2.7387,3.3384,4.7052,2.3136,6.3155,4.156,3.5776,5.349,4.6271,2.8915,2.6161,3.1491,2.2907,2.3667,2.9966,2.6078,3.089,9.346
0,4.2684,4.7787,6.3397,2.9546,3.2247,4.5993,2.3518,6.3935,4.0253,4.6817,5.3023,4.8071,2.9132,2.7763,2.8076,2.3668,2.2993,3.0409,2.5854,3.3075,9.5067
0,4.223,4.5057,6.4378,3.0053,3.1194,4.7781,2.2784,5.7937,3.7337,4.3724,5.2332,4.6224,2.9095,2.7088,2.9066,2.1442,2.1457,3.1185,2.5124,3.2481,9.1254
0,4.0391,4.5722,6.6552,3.1512,3.2869,4.9529,2.3515,5.6705,4.0182,4.4064,5.4517,4.4588,2.9748,2.7025,2.4752,2.2309,2.3532,2.9118,2.5428,2.7384,9.3411
0,3.8209,4.8318,6.2213,3.1596,3.3223,5.199,2.3571,5.9058,4.0454,4.354,5.3296,4.5864,2.9363,2.6374,2.5844,2.2433,2.4279,2.9284,2.539,2.902,9.3326
0,3.8648,4.6957,6.3242,3.354,3.1419,5.3914,2.3513,5.4109,4.0155,4.3789,5.2899,4.6111,3.0241,2.7846,2.594,2.2128,2.3102,2.9497,2.5259,3.062,9.2757
0,3.8322,4.3476,6.6846,3.55,3.2823,5.5054,2.4763,5.2464,3.8556,4.2341,5.519,4.5204,2.9512,2.7271,2.7288,2.2982,2.3487,3.0024,2.6627,3.1679,9.3212
0,3.8542,4.3391,6.5649,3.6263,3.2143,5.8635,2.3142,5.5898,3.7027,4.0816,6.0004,4.5781,2.8839,2.6418,2.5874,2.3082,2.3949,3.0496,2.5042,3.2581,9.4991
0,3.9228,4.4131,6.5244,3.7209,3.1286,5.8562,2.2472,5.2033,3.7606,4.2782,5.9835,4.618,3.2747,2.6606,2.6509,2.4577,2.3572,3.2083,2.5535,3.2697,9.6071
0,3.6143,4.4276,6.8746,3.8642,3.3191,6.0994,2.3172,5.1735,3.5791,4.0582,5.9878,4.4911,3.2636,2.6257,2.8681,2.3697,2.4039,3.3695,2.3967,3.1369,9.6955
0,3.8464,4.7671,6.7625,3.9356,3.2406,5.9812,2.2314,5.5182,3.5304,4.3407,6.2526,4.3354,3.5157,2.922,2.8294,2.2249,2.6405,3.4299,2.5148,3.3108,9.5859
0,4.0719,4.8883,6.8009,3.9913,3.2907,6.0396,2.2294,5.2186,3.5078,3.6607,5.7845,4.3959,3.7613,2.7663,2.7036,2.3984,2.4937,3.5133,2.439,3.2326,10.0087
0,3.9411,4.9263,6.5622,3.9131,3.3214,6.1463,2.1174,4.9168,3.5773,3.4908,5.9279,4.4853,3.3728,2.5003,2.7812,2.5224,2.4042,3.512,2.437,3.3007,10.282
0,3.6451,4.9888,6.6034,3.8742,3.2163,6.0634,2.0716,5.1334,3.5045,4.0589,6.0627,4.6836,3.0515,2.6723,2.6467,2.4892,2.4391,3.3874,2.5298,3.4323,10.0997
0,3.9873,5.0188,6.5331,3.7776,3.2592,6.0919,1.9897,4.9152,3.3852,4.3163,6.2078,4.3066,3.4696,2.7103,2.6972,2.5102,2.4374,3.3918,2.4207,3.2288,9.7959
0,3.9274,4.9767,6.3391,4.0028,3.2395,5.7661,1.8921,4.5823,3.4084,4.2915,6.3804,4.4837,3.198,2.6336,2.2143,2.4659,2.4484,3.4792,2.3303,3.0636,9.9362
0,3.9051,4.6107,6.5818,3.7892,3.1329,5.8838,1.7202,4.9273,3.5603,3.8124,6.4512,4.5712,3.2221,2.75,2.8626,2.6204,2.5379,3.3946,2.1677,3.088,9.8764
0,3.849,4.5473,6.4798,3.8064,3.0541,5.659,1.8577,4.3911,3.5817,3.7533,6.4855,4.3784,3.2424,2.7082,2.6966,2.5401,2.6193,3.4762,2.1942,3.0563,9.9234
0,3.9666,4.5199,6.8554,3.5976,3.1403,5.4602,1.8669,4.334,3.7126,3.6375,6.7115,4.5001,3.0792,2.7815,2.1992,2.5883,2.743,3.4818,2.2014,3.211,9.4906
0,3.9733,4.9025,6.8433,3.6474,3.1909,5.4348,1.7575,4.3972,3.2715,3.5317,6.6122,4.4023,3.1306,2.6751,2.6879,2.6143,2.8528,3.2394,2.1063,3.2781,10.1757
0,4.0742,4.62,6.9435,3.5007,3.0469,5.4425,1.7484,4.5014,3.4799,3.6444,6.389,4.1608,3.0658,2.6454,2.5724,2.6752,2.5398,3.2281,2.2609,3.3578,10.1727
0,4.2417,4.1806,6.6625,3.6471,3.1904,5.6103,1.7833,4.249,3.6926,3.6546,6.6258,4.2641,2.9219,2.76,2.4227,2.8266,2.6117,3.0775,2.0369,3.2885,9.9574
0,4.1215,4.3107,6.5923,3.3561,3.1549,5.7958,1.6833,4.3406,3.8881,3.7345,6.6961,4.0504,3.123,2.7056,2.3024,2.9008,2.6461,3.0122,2.0698,3.5109,9.5041
0,4.1103,4.2352,6.4727,3.4243,3.0985,6.1285,1.7346,4.2313,3.9046,3.4287,6.4695,4.1536,2.9354,2.7178,2.402,2.9695,2.5752,2.9197,2.0795,3.7274,9.281
0,4.099,4.8363,6.473,3.2416,3.1537,5.9338,1.6336,4.1911,3.6341,3.4345,6.892,4.0637,2.9817,2.8756,2.5875,3.0149,2.5327,2.961,2.1557,3.5588,9.4073
