odour stim;16/10/2020 Male3;30/10/2020 Male6;30/10/2020 Male9;02/11/2020 Female7;02/11/2020 Female8;03/11/2020 Female5;03/11/2020 Male6;03/11/2020 Male10;04/11/2020 Female4;04/11/2020 Female5;08/11/2020 Male1;08/11/2020 Female2;11/11/2020 Female1;11/11/2020 Female2;11/11/2020 Male3
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0.5;2.7769;3.6435;5.5395;3.8183;4.5281;3.0158;4.2633;9.3798;1.978;3.2557;2.0903;2.9482;2.9852;4.9767;3.6385
0.5;2.611;3.6983;5.4613;3.7767;4.8471;2.6657;4.5615;9.4717;2.2482;4.312;2.186;3.1352;2.8976;5.0163;3.7777
0.5;2.6808;3.5971;5.6531;3.9804;4.6678;2.6949;4.4543;9.3761;2.1978;4.9151;2.2662;3.0608;2.8643;4.732;3.5636
0.5;2.6235;3.1368;5.1513;3.7389;4.8409;2.7432;4.2858;10.0497;1.855;4.7111;2.2715;3.1334;2.7687;5.0295;3.36
0.5;2.9006;3.2499;5.0174;3.9552;5.8677;2.7745;4.3223;10.525;1.7725;4.51;1.9522;2.9442;3.0047;5.3508;3.8476
0.5;2.5828;3.0125;5.1239;4.3735;5.3455;2.82;4.1254;10.0725;1.6164;4.3935;2.2525;2.7241;2.8673;5.6696;3.4144
0.5;2.6625;3.1175;4.8728;4.1966;5.0198;2.7346;4.1602;10.247;1.4879;4.1158;2.1547;2.7843;3.172;6.1458;3.391
0.5;2.7634;3.0059;5.1785;4.1438;4.9508;2.879;3.9758;10.9208;1.5466;3.9432;2.205;2.4172;3.014;6.3376;3.3449
0.5;2.7528;2.84;4.6482;3.9977;5.0262;2.4723;4.0961;11.1794;1.4366;3.9038;2.3758;2.1953;3.0222;6.5414;3.5224
0.5;2.5317;2.8544;4.1861;3.4849;4.56;2.6891;4.2714;10.8746;1.774;3.7042;2.2938;2.2532;2.8825;6.8874;3.5186
0.5;2.6885;3.3096;3.7423;3.4978;4.8681;2.8204;4.4501;10.9253;1.7433;3.4176;1.9711;2.1309;3.2121;7.2176;3.2649
0.5;2.6429;2.9081;3.6994;2.8322;4.8796;2.7608;4.4236;11.1264;1.5931;3.6729;2.0499;2.0095;3.1512;6.9738;3.2387
0.5;2.8175;2.9496;3.7361;2.1302;4.5652;2.605;4.8372;10.3203;1.5043;3.5555;2.368;1.9081;3.3957;6.6362;4.0129
0.5;2.7613;3.1071;3.7113;2.1788;4.2019;2.5887;5.0218;9.3004;1.4351;3.9382;2.3141;1.5804;3.4531;6.4952;4.5051
0.5;2.8166;3.2883;3.7278;2.1226;3.8618;2.4615;4.9734;8.7379;1.8659;4.2971;2.3584;1.4145;3.1503;6.3957;4.9629
0.5;2.592;2.9107;3.8104;1.689;3.9535;2.2306;4.805;8.7246;2.5288;3.7681;2.2229;1.5261;3.0654;6.2231;4.4385
0.5;2.6975;2.8287;3.3944;1.4525;3.6003;2.2735;4.5907;9.1871;2.8297;3.7002;2.4739;1.3549;3.1893;6.6793;3.8466
0.5;2.6822;2.7573;3.6681;1.5807;3.338;2.3015;4.5172;8.9858;2.7883;3.3734;2.1104;1.4932;3.4588;6.9949;3.7898
0.5;2.8643;2.5584;3.7371;1.5033;3.2733;2.3908;4.4384;9.4782;2.4442;3.5485;2.3177;1.3533;3.3159;7.1424;3.5936
0.5;2.6273;2.6296;3.4686;1.2509;3.1629;2.7494;4.762;9.5374;2.2384;3.18;2.0278;1.2724;3.3462;7.0933;3.5424
0.5;2.4479;2.6863;3.0262;1.3397;3.2679;2.1164;4.6974;9.8319;1.9753;3.1262;2.3869;1.1164;3.5727;7.0767;3.1806
0.5;2.6184;2.7603;2.8097;1.0016;3.2948;2.0834;4.7859;9.575;1.7293;3.4999;2.4974;1.1644;3.523;6.6686;3.2567
0.5;2.7591;2.646;2.3551;1.1062;3.1985;2.2107;4.9328;8.7332;1.7314;3.4107;2.9452;1.1345;3.4576;6.6669;3.8284
0.5;2.8867;2.6173;2.3122;1.2016;3.2766;2.423;5.2977;8.5076;1.7101;3.3459;2.7314;1.1571;3.4274;5.9232;3.7362
0.5;2.7327;2.8657;2.1669;1.1503;3.4778;2.3286;5.3238;8.6309;1.7316;3.2274;3.2712;1.1848;3.6232;5.9838;3.4761
0.5;2.76;2.7473;2.7123;0.9975;3.1314;2.3989;5.4039;9.0374;1.8405;3.5089;3.5267;0.8299;3.7507;5.8609;3.685
0.5;2.4936;2.7559;2.5939;1.0423;3.1716;2.4981;5.3644;9.2471;1.8173;3.7706;3.4974;0.9513;3.6518;5.6237;3.3556
0.5;2.5723;3.0438;2.3628;1.1179;3.2409;2.4437;5.6301;9.1701;1.9458;4.1716;3.1603;1.1053;3.4309;5.5174;3.6803
0.5;2.579;3.2421;2.3363;1.0944;3.2642;2.5116;5.7729;9.6535;2.1988;4.5374;3.391;0.979;3.7186;5.0209;3.5566
0.5;2.7533;2.7752;2.2376;1.0527;3.0055;2.6905;5.6804;8.4885;2.1438;4.2352;3.5562;0.7909;3.4863;4.77;3.6828
0.5;2.6736;2.736;2.4769;0.8583;3.5469;2.6907;5.8824;9.0555;2.8011;3.9865;3.1374;0.8976;3.5242;4.6363;3.5343
0.5;2.6452;2.9161;2.8972;1.0252;3.7239;2.6157;5.7006;9.2512;3.1039;3.7096;3.0153;0.7978;3.3295;4.4571;3.4671
0.5;2.5327;2.748;2.7473;1.3165;4.1014;2.7246;5.4521;9.272;3.267;3.6522;3.2831;0.8421;3.5973;4.2931;3.8115
0.5;2.6107;2.7768;2.5272;1.1541;4.4027;2.7266;5.2386;8.7761;3.5664;3.9731;3.1559;0.7686;3.6707;4.2283;3.5969
