odour stim;30/10/2020 Female4;30/10/2020 Female10;21/10/2020 Male5;02/11/2020 Female4;02/11/2020 Female8;02/11/2020 Male12;03/11/2020 Female3;03/11/2020 Female9;04/11/2020 Female6;04/11/2020 Male3;08/11/2020 Male3;08/11/2020 Male4;25/02/2021 Male4
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0.5;3.1363;6.3035;7.9806;2.0273;0.3804;5.6326;6.6163;2.1466;1.7928;3.2241;3.7078;9.0682;7.968
0.5;2.7927;6.0459;8.3736;2.1641;0.3582;6.0754;6.5743;2.5744;1.6366;3.2249;4.0948;8.9507;8.0102
0.5;2.6858;6.021;8.5932;2.3216;0.4625;6.6692;5.8017;2.682;1.5261;3.3884;3.8693;9.7408;8.5355
0.5;2.3627;5.7894;10.0832;1.9801;0.1557;6.3224;5.1504;2.6626;1.4592;3.3027;4.16;8.6272;7.8091
0.5;2.2924;5.3977;8.816;2.1208;0.3871;6.1276;4.6251;3.2311;1.6634;3.2838;3.9917;8.3744;8.2343
0.5;2.1403;4.7321;8.3772;2.1602;0.5178;6.6325;4.4456;3.6599;1.647;3.5175;3.9084;8.1556;8.1863
0.5;2.1793;4.9742;7.4532;2.5157;0.6639;6.0716;4.0823;3.7235;1.6062;3.2835;3.6791;7.2836;8.0848
0.5;2.4321;4.5547;3.6075;2.3927;0.8958;5.9036;3.7058;3.4713;1.5287;3.2984;3.7131;6.7699;8.3369
0.5;2.1294;4.8173;6.0732;2.1865;0.7031;5.9844;3.4855;3.6347;1.4638;3.2337;4.1488;6.687;8.3111
0.5;2.1046;4.8111;5.792;2.3606;0.5901;6.072;3.7554;3.6854;1.4046;3.3255;4.211;6.5545;8.1309
0.5;2.2634;4.2798;5.9676;2.5925;1.0299;6.023;4.0453;3.5498;1.3103;3.7276;4.3884;6.2897;8.3039
0.5;2.1635;3.4409;5.607;2.6202;0.8606;6.2527;4.237;3.2044;1.4631;3.7729;4.1849;6.4097;8.4575
0.5;2.4924;3.0832;6.1454;3.0133;0.6783;5.931;4.3038;3.0644;1.4684;3.8216;4.06;6.1381;9.0078
0.5;2.9387;2.6692;6.5769;2.6847;0.8259;5.8553;4.1284;2.7231;1.331;3.4905;3.922;6.6459;8.4034
0.5;2.8675;2.6514;6.6203;3.0919;0.927;5.5106;4.096;2.8967;1.3333;3.5667;4.113;6.3054;8.8075
0.5;2.6104;2.4637;7.3145;3.9856;0.6841;5.34;4.1006;2.5621;1.5635;3.5559;4.0743;6.3308;8.0197
0.5;2.6163;2.2036;7.8386;4.4741;0.9261;5.8754;3.4893;2.968;1.5424;3.4712;4.0396;6.2607;8.116
0.5;2.8889;2.2114;6.0848;3.7965;1.2125;5.8247;2.9908;2.9216;1.4442;3.8434;4.0764;6.155;8.7188
0.5;2.6268;2.0272;7.1926;4.0077;1.3469;5.9116;2.5956;2.8035;1.6081;4.4291;4.0779;5.9427;8.4861
0.5;2.3064;2.2399;6.3656;3.8659;1.7027;6.0566;2.627;2.8864;1.5079;4.2061;4.0581;6.1374;8.1334
0.5;2.8082;1.9779;7.7464;3.7708;1.6524;7.0759;2.522;2.9479;1.4197;4.3615;4.164;5.8314;7.9264
0.5;3.394;2.0462;6.7441;4.0928;1.7148;7.0744;2.4502;3.025;1.3689;4.328;4.1021;5.9283;8.1314
0.5;3.5076;2.0075;8.6694;3.9381;1.0968;6.545;2.5347;3.0083;1.2505;4.2175;4.2344;6.0669;8.1196
0.5;3.4516;2.3461;8.2357;3.6993;1.4407;6.2604;2.5872;2.9403;1.3656;4.7889;4.159;6.4346;5.8867
0.5;2.695;1.9151;7.3351;3.5594;1.2887;6.368;2.6517;3.0451;1.5584;5.2808;4.228;6.1451;5.5897
0.5;2.8892;2.2679;7.2892;3.2919;0.9621;6.5835;2.4783;3.4573;1.4523;5.6425;4.177;6.8842;7.8911
0.5;2.6336;2.1043;6.7252;3.4047;1.2134;6.0185;2.6534;3.0724;1.4406;5.4186;4.3465;6.3425;8.5794
0.5;2.6615;2.2945;6.0734;3.5773;1.3963;5.8305;2.6736;2.9237;1.5215;5.524;4.3173;6.3729;8.6667
0.5;2.6673;2.101;8.0926;4.2832;1.4831;5.6307;2.5438;2.7684;1.6432;4.9643;4.5189;6.4343;9.3086
0.5;3.0402;2.0493;9.1298;5.0718;1.5182;5.4599;2.734;2.7417;1.6023;5.5602;4.4491;6.233;9.4756
0.5;3.6292;2.07;9.516;5.7073;1.2128;5.3491;2.8015;2.464;1.3702;5.3499;4.3613;6.6127;9.0721
0.5;4.1156;1.7917;10.1193;5.4515;1.0524;5.5113;3.1746;2.5062;1.6637;5.445;4.478;6.1071;9.4045
0.5;4.2413;1.9345;7.6979;5.1257;1.1552;4.9989;2.5786;2.482;1.6802;5.368;4.1921;6.3904;9.3126
0.5;4.8969;2.2393;9.6198;4.8858;1.079;5.2651;2.7372;2.4152;1.8068;5.2158;3.92;6.6867;9.233
0.5;4.7346;2.1263;8.7622;4.6739;0.7927;5.4376;2.8312;2.4477;2.2289;5.0381;3.5898;7.1467;9.3231
0.5;4.3278;1.9221;7.7653;3.6432;0.6923;4.7744;2.8382;2.5862;1.8129;4.6087;3.6587;7.5699;8.8759
0.5;4.8324;2.0565;6.7546;3.35;0.7604;4.7577;2.8374;2.3295;1.8967;4.9062;3.3049;8.0438;8.351
0.5;4.8213;2.1406;6.6285;3.1968;0.723;5.1027;2.6348;2.7278;1.6552;5.414;3.368;7.6788;8.292
0.5;4.7915;1.6028;5.9701;3.2942;0.4907;4.6719;2.8087;2.3652;1.6259;5.087;3.2287;8.1542;8.9835
0.5;5.0101;2.0478;6.2017;3.1466;0.5254;4.5246;2.5855;2.235;1.5818;5.6702;3.2535;7.9598;9.0569
0.5;5.341;1.9785;5.3707;3.09;0.489;5.1296;2.8188;2.7722;1.9506;5.8156;2.9886;8.4954;9.122
0.5;5.6685;2.3026;5.3131;2.7336;0.4812;4.6939;2.8179;2.479;1.9824;5.6469;2.9012;8.4191;9.9326
0.5;6.052;2.0885;5.4823;2.9757;0.4456;4.7049;2.597;2.4446;1.9858;6.007;2.7828;7.9181;9.6204
0.5;5.9926;1.9536;4.8758;3.1477;0.3713;4.7972;2.8377;2.5468;1.7744;5.9651;2.8384;7.9068;10.0726
0.5;6.5057;2.0836;4.5871;3.0177;0.3974;4.8093;3.2082;2.9864;1.949;5.5381;2.8654;8.1353;10.4701
0.5;6.6573;2.2941;4.9388;2.8723;0.1833;4.9251;3.9776;2.7858;1.8152;5.4201;2.9661;8.1778;10.3161
0.5;5.854;2.108;4.8788;2.9509;0.4989;4.7602;3.7159;3.0789;2.0479;4.9837;2.7744;7.5887;10.5877
0.5;5.4465;2.1358;4.8317;3.0236;0.4358;4.1338;3.1866;2.87;1.9225;5.379;3.3498;7.9167;9.9256
0.5;4.8847;2.0179;4.3212;3.1057;0.3737;4.7138;3.1361;3.6512;1.833;5.1478;3.4951;7.884;10.5118
0.5;4.0194;2.1382;4.5663;2.7108;0.369;4.9595;3.1059;3.5626;2.3772;4.8896;3.5912;8.0155;10.3029
0.5;3.5207;2.1921;3.9356;2.7518;0.2663;4.6201;3.1024;3.4038;1.9705;5.2986;3.1957;8.3759;10.5352
0.5;3.1438;1.8927;3.9224;2.9938;0.3881;4.7705;3.2912;3.8475;2.0418;5.1266;3.236;8.6172;10.443
0.5;3.2335;2.2049;4.812;3.3642;0.1921;4.6602;3.0464;4.5495;3.016;5.3412;3.1919;8.2538;10.8889
0.5;3.1445;2.2693;4.934;3.0589;0.2942;4.263;3.0299;4.8549;3.8591;5.1197;3.0158;8.6356;11.1764
0.5;2.687;2.4772;5.1124;2.7528;0.2261;4.6377;3.1957;5.0662;3.2344;5.6368;2.9656;9.0471;10.5346
0.5;2.8451;1.9104;5.4887;2.6567;0.3551;4.5907;3.4806;5.4857;2.6173;5.5083;2.8797;8.6691;10.4025
0.5;3.1021;2.1565;8.1402;2.6981;0.3619;4.6647;3.673;5.095;2.6825;5.8575;2.7328;8.7778;10.8867
0.5;3.0201;2.5937;6.728;2.5928;0.2377;4.484;3.611;5.433;2.2298;5.5768;2.6181;8.5335;10.3205
0.5;2.9754;3.2413;6.299;2.4807;0.3296;4.7942;4.1082;4.8768;2.223;5.178;2.3565;9.0457;10.5444
0.5;3.0128;3.1158;5.9117;2.2293;0.2323;4.2914;4.9235;4.1601;1.9554;4.7449;2.5208;8.1882;10.683
0.5;3.0791;3.0196;5.7478;2.37;0.2618;4.3569;5.6659;4.0942;1.778;4.9769;2.742;8.3256;11.9372
0.5;2.8771;2.4037;4.9371;2.5133;0.3647;4.3608;6.3992;3.7737;1.8146;5.2576;2.8589;8.4557;12.3576
0.5;2.8275;3.064;5.7453;2.5276;0.475;4.5668;6.4562;4.1139;1.5805;4.6865;2.9778;8.4284;12.7121
0.5;2.877;2.6643;6.009;2.5043;0.7443;4.1379;6.5698;3.7515;1.5442;4.7147;2.9375;8.5992;12.6934
0.5;2.4675;2.6165;5.0517;2.432;1.2087;4.2782;6.4912;2.8499;1.4591;4.2762;2.8338;8.6661;12.6593
0.5;3.1012;2.6201;4.9106;2.2788;1.0242;4.3037;6.0938;3.5099;1.6986;4.384;2.727;8.9975;12.6709
0.5;3.3894;2.9127;4.5746;2.0908;0.8851;4.1983;5.9616;4.0539;1.3697;4.6191;2.6214;9.2187;13.1514
0.5;3.5969;2.6236;6.1368;2.3722;1.2012;4.6402;5.8482;3.9986;1.1994;4.4737;2.9045;9.5466;12.9768
0.5;4.227;2.7567;6.5887;2.1066;1.5123;4.3465;6.0649;4.5396;1.5986;4.1995;3.0453;9.9489;13.3763
0.5;3.8696;2.4834;5.7053;2.0655;1.1016;4.1386;5.8426;4.2851;1.5825;4.3006;3.0644;9.3984;13.4295
0.5;4.444;3.0995;6.0011;1.7681;1.6372;4.2113;5.2282;4.4774;1.3655;4.2623;2.9767;8.4115;13.8853
0.5;4.7486;3.1283;5.4624;1.9995;1.8952;4.402;4.9835;4.6834;1.3554;4.2119;2.9115;8.2697;13.3514
5;3.8975;3.868;6.1445;2.3609;1.7611;4.4634;5.0803;4.0906;1.2881;4.0825;2.8745;8.3745;13.0522
5;4.384;4.1405;5.5255;2.5898;1.7683;4.312;4.4196;4.1996;1.275;4.2568;2.7492;8.1063;12.9659
5;5.3251;4.1169;13.7493;5.7128;2.9867;9.4494;5.0446;4.5062;1.778;4.0542;4.3441;7.739;14.4658
5;6.107;4.2403;10.7996;6.8384;3.4794;10.6653;4.9884;5.3057;1.5472;3.6425;4.7459;7.3944;16.2648
5;6.6489;4.3032;8.9136;7.554;3.462;11.0359;5.0338;5.9865;1.4245;3.6794;4.5869;7.5541;16.2498
5;7.9185;4.6707;10.3182;8.09;3.2719;11.6998;5.3737;6.6908;1.4662;3.6689;4.3236;7.6125;15.9712
5;8.0495;4.6373;14.1709;7.4583;3.3132;10.6233;5.9833;7.4073;1.0961;3.5169;4.6648;6.797;16.9043
