odour stim,29/04/2021 Female9,30/04/2021 Male1,30/04/2021 Male3,30/04/2021 Male5,30/04/2021 Male8,30/04/2021 Female9,30/04/2021 Male11,03/05/2021 Female1,03/05/2021 Male3,03/05/2021 Female4,03/05/2021 Male7,03/05/2021 Female9,05/05/2021 Female1,05/05/2021 Male4,05/05/2021 Female5,05/05/2021 Female6,07/05/2021 Female1,07/05/2021 Male5,19/07/2021 Male1,20/07/2021 Male1,22/07/2021 Male1
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,6.3126,2.2466,6.9988,6.4813,4.158,3.4163,2.0836,5.3964,2.5127,2.5425,4.2781,4.8177,4.5325,3.5633,1.5377,2.7778,3.9248,1.6679,5.7351,1.7481,6.9418
0,5.8615,2.2555,7.1273,6.3402,4.2631,3.442,1.8632,5.6478,2.5467,2.5521,4.1371,4.6184,4.4813,3.5111,1.634,2.7154,3.7264,1.6036,5.4406,1.7738,6.5599
0,5.7195,2.3385,7.4862,5.9589,4.3548,3.2662,1.9302,5.3917,2.6097,2.2861,4.1959,4.8686,4.8079,3.4684,1.498,2.7943,3.64,1.6896,5.4482,1.7486,6.5622
0,5.811,2.2753,7.799,5.9711,4.1624,3.2632,2.0152,5.4993,2.5965,2.4015,4.2763,4.4889,4.915,3.5134,1.3291,2.8417,3.7883,1.7498,5.4041,1.7759,6.5011
0,5.8857,2.3765,8.0597,5.6952,4.1357,3.2852,1.8485,5.5999,2.6902,2.6299,4.0381,4.7715,4.8846,3.3676,1.4146,2.6753,3.7755,1.689,5.675,1.7301,6.6915
0,5.8018,2.2513,8.3757,5.8071,4.1464,3.284,1.9011,5.2673,2.6,2.4469,4.1379,4.657,4.7669,3.4128,1.4217,2.9823,3.9172,1.6801,5.529,1.7176,6.925
0,6.1242,2.3625,8.7408,5.7477,4.1985,3.22,2.1608,5.4176,2.5828,2.5322,4.1066,4.786,5.091,3.4555,1.3108,2.825,4.2645,1.7284,5.7628,1.81,6.6848
0,5.6286,2.3278,8.5905,5.2492,3.9852,3.0746,1.9607,5.4287,2.5854,2.6569,3.9382,4.6369,4.9941,3.1754,1.391,2.6008,4.1894,1.7955,5.6952,1.6063,6.6291
0,5.5231,2.3358,8.4962,5.5847,3.9719,3.1183,1.9636,5.5997,2.6717,2.4898,4.1076,4.6289,5.205,3.1553,1.3485,2.495,4.059,1.629,6.2053,1.5374,6.3977
0,6.058,2.3422,8.3744,5.222,3.7917,3.136,2.1214,5.4667,2.6459,2.5409,4.175,4.3431,5.2882,3.1294,1.3838,2.5362,3.9422,1.8531,5.9762,1.7296,6.4892
0,6.0861,2.3224,8.4733,5.6158,3.6962,3.1357,2.1123,5.3176,2.5016,2.5161,4.1114,4.4004,5.2842,3.225,1.5849,2.6504,3.8662,1.7901,5.7537,1.6548,6.6521
0,6.0832,2.3618,8.1852,5.3241,3.6255,3.2796,2.0428,5.1597,2.3855,2.4592,4.4297,4.7178,5.7252,3.2014,1.4573,2.455,3.9657,1.8084,5.7271,1.6628,6.5204
0,6.1147,2.2943,7.9031,5.2344,3.6365,3.2172,2.0474,5.3588,2.4943,2.7228,4.3127,4.4677,5.6247,3.0541,1.2936,2.5328,3.9843,1.8019,6.0606,1.8226,6.7161
0,6.3123,2.2145,7.7543,5.4623,3.7817,3.3925,2.1737,5.3134,2.338,2.6275,4.2381,4.4634,5.6712,3.0742,1.2407,2.5717,4.0409,1.91,5.8878,1.5676,6.8337
0,6.1666,2.2224,8.0891,5.3607,3.6296,3.2587,2.1652,5.3363,2.2876,2.6042,4.4556,4.6218,5.81,2.9948,1.3695,2.6014,3.8206,1.9416,5.9273,1.7861,6.629
0,6.152,2.2686,7.9403,5.2225,3.6227,3.4025,2.045,5.5642,2.1945,2.724,4.5487,4.5382,5.7744,3.0023,1.1261,2.4297,3.952,1.7819,5.9762,1.8468,6.8999
0,6.4392,2.2468,7.8151,4.9976,3.521,2.9131,2.1523,5.2559,2.2501,2.7642,4.4373,4.5512,5.7259,2.926,1.2572,2.6475,3.8553,1.8453,5.7771,1.9609,6.7724
0,6.2466,2.2027,7.5923,4.5907,3.4892,3.0637,2.1871,5.2205,2.2109,2.6265,4.3363,4.2474,5.837,2.9099,1.3815,2.7302,3.7224,1.7153,5.9926,1.7124,6.9569
0,6.1282,2.159,7.6092,4.8818,3.4248,3.312,2.2089,5.3652,2.1238,2.8752,4.0067,4.1955,5.7597,3.144,1.3682,2.667,3.7111,1.9775,6.1442,1.7813,6.9436
0,6.0193,2.1805,7.3329,4.6664,3.341,3.0458,2.1277,5.3351,2.2559,2.606,4.3005,4.3881,5.5854,3.1448,1.3692,2.513,3.845,1.9571,6.2463,2.0298,6.9944
0,5.5983,2.1082,7.3433,4.6265,3.2392,2.9739,1.9791,5.3875,2.2848,2.5519,4.1924,4.7008,5.3927,3.1336,1.4883,2.7102,3.8969,2.1001,6.0899,1.9953,6.986
0,5.6357,2.1092,7.0385,4.457,3.3253,2.8858,2.016,5.4538,2.2052,2.6988,4.2553,4.9467,5.4414,3.2852,1.4053,2.5665,4.0231,2.1666,5.8298,1.8578,6.9699
0,5.566,2.139,6.6784,4.398,3.3375,2.8968,2.0551,5.0526,1.9419,2.6585,4.3504,4.8733,5.5562,3.3949,1.5273,2.4171,4.2323,2.1945,5.9621,1.9961,6.8889
0,5.5292,2.1773,6.261,4.5715,3.3039,3.0935,2.0946,5.2874,2.1444,2.6119,4.2525,4.923,5.9261,3.256,1.5131,2.5116,4.328,2.2142,5.855,1.9042,6.8826
0,5.6335,2.1036,6.3319,4.8069,3.5813,2.9525,2.0193,5.4129,2.0428,2.6399,3.9682,4.9048,5.7719,3.06,1.5536,2.6467,4.1556,2.1773,5.7502,1.9317,6.829
0,5.6704,2.218,6.105,4.5049,3.487,3.1527,2.0033,5.113,2.1085,2.3815,4.0546,4.747,5.6352,2.9404,1.7013,2.4675,4.2162,2.167,5.4185,1.8624,6.6105
0,5.8532,2.0402,6.1211,5.0566,3.5075,3.0813,1.9737,5.6234,1.9961,2.612,3.965,4.8262,5.4983,3.0471,1.6026,2.5745,4.4068,2.2351,5.4727,1.9538,6.7487
0,5.8263,2.1964,6.1125,5.1256,3.382,2.8306,1.9993,5.4196,2.0731,2.6043,4.0616,5.364,5.5252,2.9953,1.5869,2.4892,4.4229,2.2337,5.4154,1.7131,6.4689
0,5.4537,2.026,6.1417,4.9051,3.4172,3.1459,2.0787,5.3082,2.2631,2.5407,3.8989,4.8765,5.4287,3.014,1.6563,2.5618,4.1584,2.3609,5.4086,1.7782,6.6662
0,6.2373,2.2436,6.0795,4.8588,3.3393,2.9522,2.1693,5.4293,2.245,2.6408,4.0883,5.4201,5.2886,3.0036,1.6583,2.4973,4.6262,2.2708,5.3787,1.8179,6.9888
0,6.2529,2.2929,6.3027,4.5699,3.6035,2.9176,2.1884,5.5807,2.314,2.8634,3.9298,4.6779,5.2909,2.7579,1.6744,2.3448,4.5142,2.2551,5.318,1.8268,6.8107
0,6.0553,2.2665,6.026,4.9773,3.5303,3.1877,2.1411,5.3567,2.1788,3.109,4.0571,5.0726,5.1958,2.7771,1.4922,2.564,4.4903,2.2912,5.4572,1.6918,6.6572
0,6.5828,2.3226,5.8091,4.4048,3.4486,2.961,2.1131,5.3844,2.1859,3.0606,4.1125,5.1553,5.2177,2.6864,1.4637,2.4821,4.225,2.3656,5.6567,1.6517,6.6488
0,6.0368,2.1773,5.4897,4.2164,3.3575,3.3993,2.1563,5.4707,2.3306,3.0954,3.8917,5.243,4.8151,2.8081,1.3069,2.6504,4.2332,2.2706,5.6108,1.7465,6.7512
0,6.1467,2.2424,5.4352,4.2146,3.2369,3.0732,2.2035,5.4534,2.336,3.0547,4.0767,5.3277,5.1549,2.6132,1.3759,2.5925,4.3358,2.1944,5.5218,1.6288,6.9129
0,6.6652,2.3292,5.7046,4.3859,3.2144,3.0244,2.1789,5.3696,2.1875,2.9734,4.0718,5.6875,5.1361,2.7226,1.3402,2.7098,4.105,2.1626,5.5671,1.6949,7.2445
0,5.9196,2.2669,5.8336,4.7029,3.398,2.9372,2.0765,5.4278,2.1886,2.944,3.9759,5.842,5.2655,2.5983,1.284,2.5915,4.1038,2.2304,5.7267,1.6472,7.2802
0,6.1024,2.186,6.0282,4.2707,3.4653,2.9577,2.1941,5.3048,2.1768,3.2426,4.0763,5.4101,5.079,2.5301,1.2802,2.6127,4.295,2.2294,5.8129,1.5735,7.3722
0,6.2063,2.3076,5.9269,4.5248,3.5911,3.0213,2.0384,5.2004,2.1768,3.4148,4.0487,5.8371,5.3451,2.4898,1.3457,2.6598,4.1685,2.3056,5.9379,1.7204,7.4791
0,5.9435,2.2508,5.6294,4.3518,3.7523,3.0545,2.2557,5.2662,2.1002,3.4177,3.6784,5.8585,5.5342,2.4314,1.3448,2.6312,4.0094,2.5742,5.7108,1.7461,7.5401
0,6.3581,2.1475,5.9899,4.5467,3.7517,2.9777,2.0722,5.2229,2.0748,3.5182,3.8557,5.818,5.5072,2.4962,1.4285,2.5083,4.2665,2.5947,6.0786,1.5964,7.1963
