odour stim;07/12/2020 Female12;09/12/2020 Female6;09/12/2020 Female10;09/12/2020 Female12;11/12/2020 Female6;11/12/2020 Unknown10;14/12/2020 Male6;14/12/2020 Female10;15/12/2020 Female1;15/12/2020 Male7;09/02/2021 Male4;10/02/2021 Male4
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0.5;13.4035;13.8232;19.2174;9.4776;28.2679;17.6286;20.0422;12.5483;10.7827;20.5126;13.1252;15.0871
0.5;13.1457;13.2006;20.6335;8.7359;29.611;15.9771;19.0576;13.8822;10.6242;20.6979;11.8013;14.5629
0.5;13.7584;12.9585;21.1087;8.3019;27.7905;13.6505;17.453;16.4406;11.9541;20.1878;11.671;13.0393
0.5;13.2746;13.5685;22.8644;7.8564;26.3918;12.7113;20.5628;16.1982;11.1548;19.9935;12.2386;14.3488
0.5;12.3961;12.4392;21.607;7.7241;26.9237;13.8931;18.9206;13.5595;10.051;20.3701;12.9391;15.6395
0.5;10.9704;11.5093;19.9262;7.7976;27.5319;13.9387;22.0915;13.5737;8.5743;19.8804;12.9915;17.8109
0.5;10.7067;11.8522;18.2092;7.9066;28.0665;14.2328;24.606;13.0498;8.6906;19.7643;12.7982;18.6334
0.5;11.7438;15.4536;16.5948;8.9386;29.6179;15.4635;26.8073;13.5946;7.9766;20.2717;12.3231;18.0715
0.5;13.9253;14.629;17.7594;8.5309;27.5176;15.0001;24.1161;14.2445;7.8672;20.1693;11.0361;18.3913
0.5;13.4843;15.2416;18.5824;9.5719;27.4786;15.2363;24.2489;13.7702;7.6484;20.2189;13.6292;19.2396
0.5;11.7676;13.7543;17.5398;9.6895;26.1874;14.3986;22.5804;13.4757;7.1204;19.8308;12.9133;18.2563
0.5;13.7609;13.2861;21.3731;8.6887;26.8407;15.0548;20.4854;12.9714;8.1849;20.3545;12.4273;18.5397
0.5;13.16;12.8001;18.6805;8.6907;28.3697;12.7389;20.692;12.7388;7.6705;20.3996;12.2071;17.7409
0.5;13.9348;11.8295;17.2638;8.2459;26.4291;12.8634;20.6494;11.5235;7.6179;19.8868;14.3181;18.3793
0.5;12.5739;12.4385;18.6612;8.3165;25.7477;14.1853;19.7197;11.9229;7.3327;19.8719;13.7387;19.1199
0.5;12.3423;14.0832;18.2321;7.8113;24.2494;14.0667;19.9282;11.6411;7.1618;20.5328;12.6129;18.0402
0.5;12.6701;14.115;19.573;7.6903;23.2874;13.6541;20.5907;12.7204;6.8956;20.4553;13.7605;16.5644
0.5;13.5135;14.9416;18.2852;7.5349;27.0805;15.7106;24.1233;16.3655;6.9375;19.9058;13.4231;17.4785
0.5;16.1596;13.4938;18.4906;9.7196;30.8139;14.283;24.0856;13.8418;6.7451;19.9059;14.5619;17.2594
0.5;17.4324;13.0911;17.3056;9.2616;31.0432;13.2818;21.9873;13.5932;6.6397;19.6767;13.0764;20.1948
0.5;17.3095;16.7916;15.5713;8.6525;26.7737;16.1457;21.0142;12.3105;6.43;19.5745;15.2873;19.3828
0.5;14.1941;15.7332;14.215;7.9896;24.4886;16.5649;20.9371;12.1437;6.4447;19.5437;15.591;17.7831
0.5;13.7727;14.2084;15.3137;7.9408;26.4345;15.7427;20.5993;12.3567;7.2343;20.3988;15.4704;18.0606
0.5;14.324;13.385;16.4686;7.4548;24.2846;13.2673;21.9164;12.4205;7.164;20.0969;14.4244;16.9
0.5;13.6905;12.545;20.2014;7.2002;25.5439;12.6504;21.6673;14.5491;7.2381;20.2723;14.9978;17.7045
0.5;14.8998;11.7643;18.4317;7.0458;25.6288;13.1987;25.7435;12.8061;8.0594;19.9586;15.0955;16.285
0.5;17.0839;11.2882;16.7919;7.0885;26.8376;13.731;28.0999;13.2391;7.6518;20.3873;14.0756;17.372
0.5;15.8016;11.2569;17.3655;6.7637;24.8905;12.9783;26.1705;13.4886;7.009;20.4754;15.6556;18.7794
0.5;13.5335;11.3547;19.4074;6.8133;22.0527;13.6468;26.1008;13.5177;7.6941;20.3264;14.547;17.7798
0.5;12.312;11.0547;20.9882;7.66;24.4626;16.9074;23.3164;14.2669;6.9978;19.2688;15.7851;16.2017
0.5;10.8005;11.1667;22.8461;7.5575;26.0763;15.8873;23.3729;13.6881;6.754;19.8729;17.9339;15.1105
0.5;9.9647;11.0199;21.8299;7.2113;23.3564;14.4548;21.3866;15.2087;6.8019;19.3884;17.7577;18.4064
0.5;8.7935;12.7741;20.2311;7.204;23.3533;14.4345;22.0612;14.723;6.6729;19.292;15.9292;17.8622
0.5;8.9438;14.7061;20.9837;7.0948;21.5527;15.3538;24.037;15.9991;6.5678;18.8841;18.533;19.7406
0.5;9.369;14.0342;18.8488;8.1656;19.8512;14.5802;24.2061;14.826;6.1755;20.1428;15.889;19.6517
0.5;9.2278;14.841;17.1421;7.7904;21.4965;14.7556;28.3458;13.995;6.1626;18.8036;14.6638;20.3303
0.5;7.9628;14.0904;20.0216;9.2394;23.077;14.6698;30.1491;13.143;5.9278;19.9638;13.9219;18.8443
0.5;8.3456;13.3234;18.0474;10.2902;24.6591;13.7378;31.1255;11.9829;5.8173;19.3981;12.1104;17.9125
0.5;7.6341;13.1322;19.2079;9.6377;23.1739;14.325;27.2244;13.7041;5.7113;18.8891;11.9791;18.9399
0.5;7.3646;15.4674;19.1068;10.1289;25.9196;14.4795;25.033;12.0684;5.5576;18.677;12.3942;18.8578
0.5;7.7165;16.1458;17.8438;10.1359;24.5333;12.9443;26.3822;11.9255;5.3654;19.0827;12.9453;16.8094
0.5;8.493;16.9369;16.9999;10.9336;22.342;12.229;24.8013;10.8563;5.543;18.7996;12.6228;17.7478
0.5;8.8155;19.0257;17.6836;10.3319;21.1437;12.1991;26.6654;10.9255;5.5837;18.9546;12.1345;17.4107
0.5;7.9247;17.2293;19.5836;9.7699;21.4355;13.0181;24.9666;13.6954;5.4885;18.4366;12.0886;17.8343
0.5;8.1493;16.3131;19.2956;9.4019;21.5184;15.7918;24.2188;13.3446;5.5158;18.6248;13.3443;16.4491
0.5;7.0162;16.5119;19.3906;10.2426;24.0066;15.2105;21.2495;12.748;5.7015;19.333;14.0429;15.3647
0.5;7.3524;17.911;17.1896;9.3439;26.0871;15.5081;23.5019;10.771;5.4094;18.9089;14.6416;14.6308
0.5;7.7516;19.7509;16.133;8.9394;24.0813;16.0428;25.7595;11.235;5.4298;18.5931;13.8806;13.7497
0.5;7.5133;17.3085;18.7213;9.7452;21.485;13.708;26.7776;12.2413;5.2233;18.2696;12.9555;15.6472
0.5;6.9874;15.3484;16.7908;9.574;22.9493;13.5854;29.0126;12.3745;5.224;18.3503;14.6184;16.5532
0.5;7.1887;18.5471;15.8966;8.7766;21.7108;14.7903;27.1687;11.9918;5.21;18.0752;15.4119;15.6834
0.5;6.644;16.9982;17.2301;8.4823;23.0615;13.1131;26.4815;11.6879;5.025;18.3947;14.6481;15.0646
0.5;6.8741;15.8178;15.7454;7.7467;22.8842;12.5732;26.1574;13.309;5.0969;18.3354;13.9726;15.7354
0.5;6.7686;18.3316;15.2972;7.5744;23.7527;10.3224;27.448;12.8279;5.0928;19.1152;12.3063;15.0399
0.5;6.8447;19.3053;19.1013;7.527;26.152;12.3759;28.9549;13.0616;5.1379;17.706;13.8476;15.9135
0.5;7.5898;18.2869;17.5481;7.0329;26.4953;11.8551;25.9191;11.3568;4.9066;16.7833;12.3475;14.9952
0.5;7.4257;22.2745;18.6843;6.9416;24.8345;10.795;24.128;11.6309;5.6691;17.7098;12.702;14.2034
5;6.7916;19.3755;19.4506;8.1765;24.6618;10.198;25.8615;10.8026;5.6562;17.6375;14.1714;13.1887
5;6.315;17.4556;19.3856;8.179;26.7121;10.0183;27.1335;10.0049;6.1723;17.6209;14.5008;12.6355
5;7.2902;18.24;18.0335;7.2259;28.167;9.6593;26.9017;9.3154;8.1444;17.7976;15.7228;14.9356
5;7.3577;16.0783;16.5273;7.4294;26.0747;9.433;29.4772;9.6533;7.8173;18.8783;16.7376;18.2622
5;7.6336;14.2507;16.6096;7.1581;23.6965;10.6775;30.3987;9.7089;9.4032;18.3325;16.5354;17.2507
5;7.18;13.2076;15.581;6.8476;24.3663;9.8758;31.5379;8.6133;8.7733;17.7078;16.4418;15.8336
5;8.553;12.7478;19.036;6.8978;25.6836;9.8142;30.7911;9.0491;8.5586;18.0467;15.0272;14.604
5;7.6316;11.964;19.4557;6.857;25.1114;10.1114;29.8341;8.2745;7.2949;17.938;14.8857;14.8772
5;8.7843;11.5542;18.3815;6.8394;28.2477;10.1245;29.3894;8.4668;9.0956;17.6743;14.4213;16.928
5;9.6479;11.1298;16.4697;7.4819;29.925;9.3972;31.0156;8.192;8.3787;17.7257;13.2127;18.3939
5;10.4515;11.0668;19.3783;7.828;26.2621;8.9954;31.2543;7.7528;7.6234;17.6653;15.1299;17.6959
5;9.6687;10.8227;18.4529;7.7519;23.8198;8.7249;30.4888;8.2268;7.0777;17.972;14.8784;17.916
5;10.6962;10.741;18.6815;8.7688;22.6903;9.1191;29.7333;8.0836;6.3834;17.8611;13.636;19.746
5;9.8897;10.4804;17.8024;10.9044;19.7606;8.8871;26.8013;8.1653;6.8713;17.9758;14.0485;19.8225
5;9.2617;10.34;16.1959;12.2761;21.9785;8.8958;25.3472;8.2658;6.7832;17.5347;13.1217;17.2981
5;8.3612;10.5507;17.2865;12.9642;20.2247;8.8113;27.8292;7.7665;6.4243;17.8412;12.8273;18.3961
5;9.0827;10.1819;17.952;13.9167;21.2129;8.8625;26.4911;8.2224;6.9814;17.8275;13.1001;16.8574
5;9.642;9.8755;21.0622;12.2228;20.5672;9.6207;25.3915;7.5693;6.7021;17.5194;14.2467;19.2858
5;10.7535;9.9986;24.7534;13.1071;21.2196;9.225;27.1327;8.0263;6.4981;17.2987;14.1157;18.0703
5;11.1309;9.9449;22.6976;12.1331;20.6366;9.7465;31.112;7.6029;6.218;18.0246;15.9807;16.3213
5;11.2321;9.6769;19.5786;11.0575;18.6937;10.0475;31.2838;7.8521;5.82;17.7618;15.0671;15.5325
5;12.5962;9.9412;23.3617;10.378;17.191;10.7921;28.0304;8.2001;5.6773;17.7431;13.2604;14.505
5;10.8816;9.6427;26.0311;9.5748;17.5999;11.4859;30.5872;7.4706;5.6089;16.8957;12.8258;15.0191
5;12.076;9.9548;24.9805;9.011;15.4755;11.0322;29.3465;7.729;5.7564;17.9355;13.539;15.4836
