odour stim,26/05/2021 Female 3,01/06/2021 Male 4,02/06/2021 Male 2,02/06/2021 Male 3,04/06/2021 Male 4,04/06/2021 Male 7,08/06/2021 Male 5,08/06/2021 Male 11,09/06/2021 Female 10,10/06/2021 Male 2,29/09/2021 Male 4,29/09/2021 Male 5,29/09/2021 female 10,30/09/2021 Male 1,30/09/2021 female 2,30/09/2021 female 3,19/10/2021 male4,19/10/2021 female7,27/10/2021 female 4,,
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,,
0,5.3174,1.7512,3.6256,4.4282,5.0009,14.241,6.1617,17.3353,4.7269,9.8527,10.0113,12.6596,2.6616,9.0132,7.5075,7.2347,6.5077,11.3608,22.3106,,
0,5.3182,2.2999,3.437,5.8024,4.8385,13.6986,6.0747,18.3772,5.2146,9.0754,10.4776,11.1366,2.7942,10.7462,8.8844,7.2181,6.4569,11.2625,26.7776,,
0,5.6763,2.0396,3.9518,4.8895,4.6637,12.5765,5.9397,18.3836,4.7098,9.8275,10.2768,12.296,2.5841,8.7121,7.23,7.7364,6.8308,13.8165,26.3898,,
0,5.7652,1.7469,3.7536,5.0864,4.4965,11.6793,5.8425,17.6504,4.2139,10.125,10.1471,11.5933,3.2469,9.4796,7.9,8.2966,6.4646,15.2646,30.0736,,
0,5.2743,1.9167,3.725,5.1042,4.2855,10.9407,6.0228,17.6777,4.2751,9.9734,10.1127,11.9212,3.6467,11.8799,8.5944,9.066,6.6519,15.9395,28.8094,,
0,5.5702,1.8122,3.6771,5.2353,4.6411,10.4904,5.6609,17.4241,4.6912,9.3892,10.1854,11.222,4.2876,10.3476,7.2732,9.6077,6.4254,15.0454,28.0494,,
0,5.5392,1.6833,3.7043,5.0039,4.9066,10.1964,5.2895,18.8194,4.5382,9.1498,10.6919,11.1162,4.9744,11.9447,7.8502,9.4082,6.3192,14.0199,28.1473,,
0,5.2625,1.5999,3.2568,5.5064,4.5643,9.8796,5.8112,18.2848,4.647,9.6845,10.2804,10.9539,5.739,9.3755,6.4668,9.7075,6.9337,12.8969,29.8906,,
0,5.6945,1.6055,3.7825,4.9409,4.9166,9.9812,5.4612,17.2384,4.2747,9.1721,10.3419,10.6721,6.4412,11.0955,8.6119,8.4282,6.639,11.2543,31.8981,,
0,5.4966,1.6177,3.6683,5.5506,4.9185,9.6557,5.5972,17.3755,4.4591,9.2801,10.7339,10.5579,7.6347,13.0265,7.5901,9.8765,6.3912,11.8241,24.4145,,
0,5.5008,1.5332,3.5218,5.643,4.8601,9.2078,5.3898,16.567,4.389,9.1703,10.1868,9.1098,7.5786,12.4482,8.3672,8.3113,6.4472,10.6096,29.5098,,
0,5.612,1.542,3.6303,5.5665,4.901,9.6833,5.5729,16.2396,4.647,9.4451,10.4894,9.8755,6.9651,12.0251,8.8359,9.4267,6.5129,10.2399,27.6127,,
0,5.4295,1.5733,3.4846,5.6879,4.8651,9.2926,5.3283,16.0819,4.5858,9.4855,10.2171,9.2716,6.8389,8.2294,8.0751,8.2534,6.175,9.8316,20.6455,,
0,5.0362,1.5186,3.5804,5.8887,4.0968,8.9954,5.5987,15.714,4.6683,8.9727,10.1129,10.295,7.392,12.5024,8.882,9.35,6.2748,9.099,23.5527,,
0,5.5624,1.4846,3.5046,5.6264,4.2735,8.945,5.4484,15.7702,4.7726,9.102,10.4817,9.0313,7.4908,11.7597,7.0567,8.3506,6.1911,9.5168,15.2461,,
0,4.6892,1.4524,3.1995,5.0846,4.5183,8.5375,5.1943,15.7773,4.642,8.6246,10.5796,9.7171,7.4824,13.4505,7.6371,9.0554,6.1628,9.2467,21.7811,,
0,5.2203,1.2663,3.5003,5.2163,4.8778,8.834,5.4852,15.4358,4.5808,8.9529,10.3501,9.2095,7.98,15.8348,6.5152,7.8407,6.1454,8.6014,18.6712,,
0,5.5015,1.4893,3.1048,4.939,5.0766,9.3068,5.1324,15.6272,4.5161,9.2776,10.2264,9.7308,7.4034,13.5319,6.1905,8.7348,5.879,8.4969,20.8855,,
0,5.4249,1.6589,3.5281,4.7719,4.6999,9.0277,5.4938,15.23,4.3948,9.0273,10.3863,9.6993,6.4454,13.5928,6.7289,8.0957,5.9376,7.934,23.0408,,
0,5.1971,1.3994,3.8512,5.4113,5.1656,9.1044,5.3439,14.2505,4.7276,8.9826,10.5902,9.0257,7.7197,9.8563,5.5719,8.4052,6.4517,8.0784,14.8391,,
0,5.2363,1.6918,4.1028,4.5499,5.0823,11.1358,5.5207,14.3953,4.9287,8.9579,10.645,9.0986,7.4401,16.0163,7.3312,8.1321,5.7542,9.0674,18.9753,,
0,5.3088,1.5208,4.4693,5.6712,5.2826,13.2895,5.4212,15.1198,5.1922,8.8807,10.6931,8.5568,6.3701,13.037,7.3574,8.5617,6.0367,8.9148,22.9657,,
