odour stim;16/11/2020 Male4;16/11/2020 Female10;17/11/2020 Female3;17/11/2020 Female9;18/11/2020 Female3;18/11/2020 Female8;19/11/2020 Male5;19/11/2020 Female10;20/11/2020 Male10;23/11/2020 Male5;23/11/2020 Female9;25/11/2020 Female4;16/02/2021 Male6
;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V
0.5;5.9818;3.2282;16.1288;8.5158;13.8756;9.5727;8.5806;13.3264;7.3985;8.1865;7.7053;14.6392;10.791
0.5;6.6509;3.6396;15.4806;8.3178;13.784;10.3345;7.7304;14.7807;8.0802;8.3193;7.7193;14.4104;12.3493
0.5;6.2897;3.8113;16.9266;8.0078;15.106;9.9165;8.3365;15.4601;7.911;8.2081;7.3919;14.0158;13.243
0.5;6.0283;3.8719;18.411;7.146;14.3274;10.2294;8.4009;18.2122;8.2318;8.3133;8.0427;12.9875;13.6347
0.5;6.4672;3.6837;18.7816;7.0105;14.6105;10.4086;8.7813;18.0001;8.5857;8.6182;7.4123;12.253;15.2837
0.5;5.3647;3.1424;17.3578;5.3792;13.6449;10.0563;9.3709;17.8518;9.3117;9.291;7.1588;11.2007;15.9232
0.5;4.0355;3.3677;17.0254;5.7025;14.711;9.9196;9.2923;18.5563;9.5982;9.4402;6.9955;11.6515;17.2928
0.5;2.9874;3.5701;16.7191;5.9488;14.067;9.4611;9.0995;19.3591;10.0873;9.423;6.5738;11.4609;17.2599
0.5;3.2631;4.0286;17.0841;6.4994;11.5264;9.0125;8.6218;19.9173;9.6428;10.561;6.3185;10.4086;16.518
0.5;4.1994;4.279;16.8738;8.6583;9.6054;8.1176;9.948;19.2716;10.2228;9.8442;7.589;10.1904;16.2415
0.5;4.5234;4.274;16.2212;9.7505;10.078;8.3062;10.7499;18.356;11.2377;10.9856;6.3006;9.4406;16.2103
0.5;4.3003;4.6696;15.4939;9.8663;11.4037;8.9638;10.3333;19.1453;11.3962;11.3454;6.88;9.8574;16.477
0.5;5.3366;4.5038;15.7026;9.8172;11.7987;10.4626;9.9202;18.9481;11.026;10.179;7.7245;10.5005;18.3227
