odour stim;07/12/2020 Female10;09/12/2020 Male4;09/12/2020 Female11;11/12/2020 Female3;11/12/2020 Male8;14/12/2020 Male3;14/12/2020 Male7;15/12/2020 Male3;15/12/2020 Female8;08/02/2021 Female2;09/02/2021 Female5;10/02/2021 Female2
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0.5;12.2596;16.2787;6.9661;20.7101;12.6448;17.1902;17.5322;37.7718;26.7355;9.8825;16.204;12.6345
0.5;10.8937;16.8154;6.8409;17.4648;12.2718;15.9082;20.8091;35.5276;28.4483;10.1743;15.6368;11.5104
0.5;11.2189;15.8147;7.1063;16.4462;11.739;15.3112;19.484;33.4299;28.8559;11.1594;15.2346;10.5655
0.5;11.1105;17.4522;6.8451;17.9984;11.1805;18.4132;18.3884;30.861;29.1732;10.4514;16.8572;10.0343
0.5;9.9024;18.1223;7.2183;16.8811;11.3835;18.7448;16.978;31.5652;25.9584;10.7608;15.4804;9.8193
0.5;10.3159;16.6774;6.5567;15.5476;12.3235;20.5758;16.7475;32.8688;26.0005;10.806;13.8579;10.3248
0.5;9.8043;18.5244;6.9508;14.8917;12.9285;18.4783;17.7347;31.596;27.5254;11.0437;13.9402;11.8953
0.5;10.291;18.7153;6.4238;14.2178;11.6682;17.1735;16.9979;30.1935;25.1085;11.1893;14.7064;12.0056
0.5;10.1696;19.6969;7.0133;13.5667;11.5399;15.7303;16.0676;30.1862;23.9977;10.5121;14.8487;11.4113
0.5;10.9285;19.2318;6.6241;13.3386;11.7704;17.6353;15.5892;28.3511;24.9379;10.4678;15.3214;11.4386
0.5;12.0564;18.1834;7.0324;12.9018;12.6653;17.6738;14.9044;27.0544;28.1251;10.3083;14.0363;11.6687
0.5;11.5095;16.3424;6.8088;12.2344;16.038;17.8355;14.6402;28.1999;26.804;10.5597;15.0447;10.3178
0.5;11.5334;18.1143;7.1142;14.0914;19.3733;17.3914;18.4162;27.7441;26.3299;12.9728;14.2441;12.3372
0.5;14.5271;20.5122;6.9467;15.4563;19.6279;16.1448;21.4178;24.6346;24.007;12.969;13.9273;11.0282
0.5;14.1608;22.5127;7.1453;14.3287;20.7179;15.0867;20.4258;22.7253;23.9936;11.7607;16.2048;12.3605
0.5;12.8935;21.3002;6.907;13.2157;20.8536;16.7588;18.2839;24.5561;23.2133;11.2584;15.2593;11.2946
0.5;14.2674;18.2746;6.7278;15.086;19.9313;17.3527;17.0077;24.6558;21.7795;12.3708;14.786;12.0857
0.5;17.052;17.3117;6.5535;15.0145;19.1286;19.3566;16.2794;23.8261;24.4417;14.1176;13.7335;11.6805
0.5;16.6661;16.0688;7.0246;15.5353;17.8464;18.8813;19.7698;23.3273;29.5268;12.6746;11.9157;11.2246
0.5;15.3329;18.0044;6.9299;14.6764;19.3984;17.6602;19.7266;25.4794;29.8701;12.2432;15.9589;11.8382
0.5;17.5436;18.4627;6.977;13.6762;21.6484;16.1168;18.396;28.2127;29.1148;12.4924;18.6141;12.1478
0.5;15.971;18.8175;6.8327;17.1308;21.1796;14.9912;17.6898;29.7801;32.1873;12.8906;16.4112;12.5849
0.5;17.4238;17.0015;6.9966;17.0416;18.8556;14.0638;18.5617;28.052;30.1835;12.4768;15.0536;13.9658
0.5;18.2531;18.0083;6.5637;16.6406;19.2778;16.8991;17.75;30.8348;27.1367;11.4108;15.5553;13.7533
0.5;15.82;17.2186;7.446;17.2757;18.6828;17.7472;17.7261;27.919;23.7518;11.754;17.0906;12.0776
0.5;15.079;15.8467;7.7482;16.4485;16.4743;18.5435;16.2175;26.4002;19.2831;11.2445;18.9675;11.6664
0.5;15.6683;14.4863;8.1038;14.3104;18.6624;18.158;15.7391;28.3314;16.9484;10.1977;17.134;12.9487
0.5;18.8612;13.0802;7.5209;13.8744;20.9338;18.8943;16.8515;29.6252;16.7419;9.5866;15.3889;12.149
0.5;16.7168;13.8775;7.5999;15.2478;18.9103;20.3685;16.457;29.3761;16.1959;11.1768;15.1112;11.0755
0.5;17.0031;12.5223;7.5789;14.283;19.0944;18.4853;17.5168;29.3824;15.4921;10.5669;17.1167;12.8152
0.5;17.4991;13.9267;8.024;13.3033;22.3273;17.7232;16.8926;32.2667;13.8697;12.1785;18.8246;10.359
0.5;17.2361;15.0032;7.5723;14.3195;22.0974;17.8119;18.5555;39.3342;13.332;11.4755;18.0844;8.9728
0.5;18.5423;12.752;7.7105;13.4374;22.2157;16.6299;20.1441;37.896;13.1118;12.1982;18.4453;8.726
0.5;18.5252;13.9947;7.7611;12.8741;19.7588;14.5459;20.0549;40.0446;13.4219;12.4929;17.6109;7.8569
0.5;19.6254;14.7769;7.7665;12.4209;23.1823;18.1721;17.9364;41.5688;13.3136;12.2011;16.6183;6.6333
0.5;19.4652;13.9262;7.7115;11.5273;21.4098;16.7625;17.6128;42.2847;13.1429;13.5514;15.3417;6.8284
0.5;20.9529;13.4881;7.6077;11.1795;19.3463;18.3628;16.6101;39.3706;13.075;11.4212;14.3983;6.9844
0.5;21.201;13.9934;8.4663;12.5063;18.1859;16.9728;18.4226;36.7609;12.1727;11.0974;13.978;6.9918
0.5;22.9978;13.9701;9.4475;12.3689;21.4336;17.9025;21.0013;34.2104;12.3529;11.7113;12.9431;8.1686
0.5;24.1967;13.9858;9.8637;13.4687;22.7016;19.635;23.3874;36.6365;14.0278;10.7688;12.4909;7.8811
0.5;25.308;15.6881;9.3326;14.1756;20.7666;17.7763;22.1248;35.0056;13.4504;9.8278;12.9664;7.137
0.5;27.0813;17.6443;8.7874;13.4945;20.1254;19.0051;19.8744;32.7918;12.5614;12.201;12.6221;6.6949
0.5;26.5853;15.7808;8.6005;14.5634;19.91;20.1398;18.7751;33.716;12.4019;13.3524;11.9716;5.9898
0.5;26.5147;14.3851;8.4803;13.8871;19.2938;19.6634;21.387;30.3718;13.3788;12.4776;11.7107;7.4785
0.5;22.6798;14.4971;7.3009;13.1421;19.9894;18.3392;21.4827;30.3515;12.8726;12.6447;11.747;6.9266
